vx,vy,stamp
0.0,0.0,1759203611138331268
0.0,0.0,1759203611138459294
0.0,0.0,1759203611138828911
0.0,0.0,1759203611150524076
0.0,0.0,1759203611163516879
0.0,0.0,1759203611176728306
0.0,0.0,1759203611189894175
0.0,0.0,1759203611203459046
0.0,0.0,1759203611217786371
0.0,0.0,1759203611231101716
0.0,0.0,1759203611244718826
0.0,0.0,1759203611257556250
0.0,0.0,1759203611270964667
0.0,0.0,1759203611284323193
0.0,0.0,1759203611297271384
0.0,0.0,1759203611310466714
0.0,0.0,1759203611325124357
0.0,0.0,1759203611339057897
0.0,0.0,1759203611352076800
0.0,0.0,1759203611365401229
0.0,0.0,1759203611378927582
0.0,0.0,1759203611391890124
0.0,0.0,1759203611404949002
0.0,0.0,1759203611419747631
0.0,0.0,1759203611433161472
0.0,0.0,1759203611446658775
0.0,0.0,1759203611459804463
0.0,0.0,1759203611473213070
0.0,0.0,1759203611486241775
0.0,0.0,1759203611499519364
0.0,0.0,1759203611512018791
0.0,0.0,1759203611527269796
0.0,0.0,1759203611540609022
0.0,0.0,1759203611553937400
0.0,0.0,1759203611566645805
0.0,0.0,1759203611580419309
0.0,0.0,1759203611593653381
0.0,0.0,1759203611606426898
0.0,0.0,1759203611621655979
0.0,0.0,1759203611634532889
0.0,0.0,1759203611648347838
0.0,0.0,1759203611661639001
0.0,0.0,1759203611674720837
0.0,0.0,1759203611688067898
0.0,0.0,1759203611701152906
0.0,0.0,1759203611714494289
0.0,0.0,1759203611729173564
0.0,0.0,1759203611742758068
0.0,0.0,1759203611756050468
0.0,0.0,1759203611769341133
0.0,0.0,1759203611782266909
0.0,0.0,1759203611795293536
0.0,0.0,1759203611808705913
0.0,0.0,1759203611823564017
0.0,0.0,1759203611836882542
0.0,0.0,1759203611850191822
0.0,0.0,1759203611863628903
0.0,0.0,1759203611876632601
0.0,0.0,1759203611889887681
0.0,0.0,1759203611903079440
0.0,0.0,1759203611918310278
0.0,0.0,1759203611931413864
0.0,0.0,1759203611944634663
0.0,0.0,1759203611957955971
0.0,0.0,1759203611971423865
0.0,0.0,1759203611984792334
0.0,0.0,1759203611998069668
0.0,0.0,1759203612010436926
0.0,0.0,1759203612024732985
0.0,0.0,1759203612038574693
0.0,0.0,1759203612051789825
0.0,0.0,1759203612065437050
0.0,0.0,1759203612078575901
0.0,0.0,1759203612091608864
0.0,0.0,1759203612105222130
0.0,0.0,1759203612119618342
0.0,0.0,1759203612133033017
0.0,0.0,1759203612146278635
0.0,0.0,1759203612159393291
0.0,0.0,1759203612172824850
0.0,0.0,1759203612185820992
0.0,0.0,1759203612199226682
0.0,0.0,1759203612212575579
0.0,0.0,1759203612227040983
0.0,0.0,1759203612240900073
0.0,0.0,1759203612254035681
0.0,0.0,1759203612267012189
0.0,0.0,1759203612280010510
0.0,0.0,1759203612293721749
0.0,0.0,1759203612306971386
0.0,0.0,1759203612321619155
0.0,0.0,1759203612335055506
0.0,0.0,1759203612348451569
0.0,0.0,1759203612360916039
0.0,0.0,1759203612375098848
0.0,0.0,1759203612388069004
0.0,0.0,1759203612401366636
0.0,0.0,1759203612414720465
0.0,0.0,1759203612430026756
0.0,0.0,1759203612443187222
0.0,0.0,1759203612456143658
0.0,0.0,1759203612469622474
0.0,0.0,1759203612482880930
0.0,0.0,1759203612495959048
0.0,0.0,1759203612509090096
0.0,0.0,1759203612523774043
0.0,0.0,1759203612536876196
0.0,0.0,1759203612550160966
0.0,0.0,1759203612563381501
0.0,0.0,1759203612576902591
0.0,0.0,1759203612590161417
0.0,0.0,1759203612603363049
0.0,0.0,1759203612617694034
0.0,0.0,1759203612631173936
0.0,0.0,1759203612644536726
0.0,0.0,1759203612657779074
0.0,0.0,1759203612671230618
0.0,0.0,1759203612684250331
0.0,0.0,1759203612697516611
0.0,0.0,1759203612710770630
0.0,0.0,1759203612725547866
0.0,0.0,1759203612738822892
0.0,0.0,1759203612752103394
0.0,0.0,1759203612765177133
0.0,0.0,1759203612778625385
0.0,0.0,1759203612791873944
0.0,0.0,1759203612805075134
0.0,0.0,1759203612819804044
0.0,0.0,1759203612833206924
0.0,0.0,1759203612846455792
0.0,0.0,1759203612859732915
0.0,0.0,1759203612873036416
0.0,0.0,1759203612885866935
0.0,0.0,1759203612899168042
0.0,0.0,1759203612912716298
0.0,0.0,1759203612927013218
0.0,0.0,1759203612940587819
0.0,0.0,1759203612954074148
0.0,0.0,1759203612967478926
0.0,0.0,1759203612980664503
0.0,0.0,1759203612993735603
0.0,0.0,1759203613007231497
0.0,0.0,1759203613022005279
0.0,0.0,1759203613034805538
0.0,0.0,1759203613048620844
0.0,0.0,1759203613061867946
0.0,0.0,1759203613075017388
0.0,0.0,1759203613088303775
0.0,0.0,1759203613100982590
0.0,0.0,1759203613115058279
0.0,0.0,1759203613129472271
0.0,0.0,1759203613143114618
0.0,0.0,1759203613156438733
0.0,0.0,1759203613168779534
0.0,0.0,1759203613182947566
0.0,0.0,1759203613196217159
0.0,0.0,1759203613208833210
0.0,0.0,1759203613223337098
0.0,0.0,1759203613236994166
0.0,0.0,1759203613250045089
0.0,0.0,1759203613263197675
0.0,0.0,1759203613276701938
0.0,0.0,1759203613289646238
0.0,0.0,1759203613303439567
0.0,0.0,1759203613318096230
0.0,0.0,1759203613331506030
0.0,0.0,1759203613344805284
0.0,0.0,1759203613357712310
0.0,0.0,1759203613371407653
0.0,0.0,1759203613384570538
0.0,0.0,1759203613397737421
0.0,0.0,1759203613410888777
0.0,0.0,1759203613425485258
0.0,0.0,1759203613439150581
0.0,0.0,1759203613452210297
0.0,0.0,1759203613465535693
0.0,0.0,1759203613478454620
0.0,0.0,1759203613491897063
0.0,0.0,1759203613505627944
0.0,0.0,1759203613520425179
0.0,0.0,1759203613533650724
0.0,0.0,1759203613546232369
0.0,0.0,1759203613560113643
0.0,0.0,1759203613573213935
0.0,0.0,1759203613586788195
0.0,0.0,1759203613599525250
0.0,0.0,1759203613612614118
0.0,0.0,1759203613627436013
0.0,0.0,1759203613640532330
0.0,0.0,1759203613654051251
0.0,0.0,1759203613667297229
0.0,0.0,1759203613680589260
0.0,0.0,1759203613693720323
0.0,0.0,1759203613706981035
0.0,0.0,1759203613721662058
0.0,0.0,1759203613735143330
0.0,0.0,1759203613748165310
0.0,0.0,1759203613761676312
0.0,0.0,1759203613775017762
0.0,0.0,1759203613787893799
0.0,0.0,1759203613801376870
0.0,0.0,1759203613814559842
0.0,0.0,1759203613829041571
0.0,0.0,1759203613842625723
0.0,0.0,1759203613856021462
0.0,0.0,1759203613869350546
0.0,0.0,1759203613882418697
0.0,0.0,1759203613895489268
0.0,0.0,1759203613908796175
0.0,0.0,1759203613923648319
0.0,0.0,1759203613936765486
0.0,0.0,1759203613950268456
0.0,0.0,1759203613963176104
0.0,0.0,1759203613976496816
0.0,0.0,1759203613989795714
0.0,0.0,1759203614003286519
0.0,0.0,1759203614017769912
0.0,0.0,1759203614031279985
0.0,0.0,1759203614044636200
0.0,0.0,1759203614057539592
0.0,0.0,1759203614070941219
0.0,0.0,1759203614084442995
0.0,0.0,1759203614097504227
0.0,0.0,1759203614110543671
0.0,0.0,1759203614125213932
0.0,0.0,1759203614138798069
0.0,0.0,1759203614151402451
0.0,0.0,1759203614165436187
0.0,0.0,1759203614178453242
0.0,0.0,1759203614191705754
0.0,0.0,1759203614205256673
0.0,0.0,1759203614219656858
0.0,0.0,1759203614233115468
0.0,0.0,1759203614246319797
0.0,0.0,1759203614259576909
0.0,0.0,1759203614272994969
0.0,0.0,1759203614286230793
0.0,0.0,1759203614299665295
0.0,0.0,1759203614312626060
0.0,0.0,1759203614326716023
0.0,0.0,1759203614340934676
0.0,0.0,1759203614354215586
0.0,0.0,1759203614367319321
0.0,0.0,1759203614380738890
0.0,0.0,1759203614393766988
0.0,0.0,1759203614407691081
0.0,0.0,1759203614422187472
0.0,0.0,1759203614435492765
0.0,0.0,1759203614448785473
0.0,0.0,1759203614461917813
0.0,0.0,1759203614475123087
0.0,0.0,1759203614488425323
0.0,0.0,1759203614501312285
0.0,0.0,1759203614514650973
0.0,0.0,1759203614528441230
0.0,0.0,1759203614542607165
0.0,0.0,1759203614556067130
0.0,0.0,1759203614569408989
0.0,0.0,1759203614582490218
0.0,0.0,1759203614595370670
0.0,0.0,1759203614608992763
0.0,0.0,1759203614623553625
0.0,0.0,1759203614636978383
0.0,0.0,1759203614650345595
0.0,0.0,1759203614663447565
0.0,0.0,1759203614676685515
0.0,0.0,1759203614690032642
0.0,0.0,1759203614703227409
0.0,0.0,1759203614717129235
0.0,0.0,1759203614731199644
0.0,0.0,1759203614744547346
0.0,0.0,1759203614757728425
0.0,0.0,1759203614771020209
0.0,0.0,1759203614784200973
0.0,0.0,1759203614797801317
0.0,0.0,1759203614811043433
0.0,0.0,1759203614825607627
0.0,0.0,1759203614839175740
0.0,0.0,1759203614852448800
0.0,0.0,1759203614865749796
0.0,0.0,1759203614879001681
0.0,0.0,1759203614892481707
0.0,0.0,1759203614905573327
0.0,0.0,1759203614920189757
0.0,0.0,1759203614933553071
0.0,0.0,1759203614946737084
0.0,0.0,1759203614960017902
0.0,0.0,1759203614972733866
0.0,0.0,1759203614986508928
0.0,0.0,1759203614999256069
0.0,0.0,1759203615012608545
0.0,0.0,1759203615027360454
0.0,0.0,1759203615040666123
0.0,0.0,1759203615054161962
0.0,0.0,1759203615067245128
0.0,0.0,1759203615080606965
0.0,0.0,1759203615094216046
0.0,0.0,1759203615107556939
0.0,0.0,1759203615122007488
0.0,0.0,1759203615135376845
0.0,0.0,1759203615148692097
0.0,0.0,1759203615161870081
0.0,0.0,1759203615175364257
0.0,0.0,1759203615188358069
0.0,0.0,1759203615201834103
0.0,0.0,1759203615214864883
0.0,0.0,1759203615228981668
0.0,0.0,1759203615243156188
0.0,0.0,1759203615256729515
0.0,0.0,1759203615268993822
0.0,0.0,1759203615282899400
0.0,0.0,1759203615295245931
0.0,0.0,1759203615308556747
0.0,0.0,1759203615323538834
0.0,0.0,1759203615336537635
0.0,0.0,1759203615349989732
0.0,0.0,1759203615363445286
0.0,0.0,1759203615376684247
0.0,0.0,1759203615389216251
0.0,0.0,1759203615403146448
0.0,0.0,1759203615417749911
0.0,0.0,1759203615431171930
0.0,0.0,1759203615444295494
0.0,0.0,1759203615457802147
0.0,0.0,1759203615470981298
0.0,0.0,1759203615484348185
0.0,0.0,1759203615497710955
0.0,0.0,1759203615510981270
0.0,0.0,1759203615525866213
0.0,0.0,1759203615539471234
0.0,0.0,1759203615552515901
0.0,0.0,1759203615565551661
0.0,0.0,1759203615579020548
0.0,0.0,1759203615592026876
0.0,0.0,1759203615605150616
0.0,0.0,1759203615619791804
0.0,0.0,1759203615632726250
0.0,0.0,1759203615646274947
0.0,0.0,1759203615659894250
0.0,0.0,1759203615673261844
0.0,0.0,1759203615686468055
0.0,0.0,1759203615699452980
0.0,0.0,1759203615712691360
0.0,0.0,1759203615726900220
0.0,0.0,1759203615740293717
0.0,0.0,1759203615754055902
0.0,0.0,1759203615767237309
0.0,0.0,1759203615780719237
0.0,0.0,1759203615793567242
0.0,0.0,1759203615806956863
0.0,0.0,1759203615821531868
0.0,0.0,1759203615835117300
0.0,0.0,1759203615847678942
0.0,0.0,1759203615861384750
0.0,0.0,1759203615874792894
0.0,0.0,1759203615888149053
0.0,0.0,1759203615901050734
0.0,0.0,1759203615914598062
0.0,0.0,1759203615928988083
