vx,vy,stamp
0.0,0.0,1759200749287087153
0.0,0.0,1759200749287178851
0.0,0.0,1759200749287256211
0.0,0.0,1759200749295435505
0.0,0.0,1759200749310019759
0.0,0.0,1759200749323129190
0.0,0.0,1759200749336383461
0.0,0.0,1759200749349539019
0.0,0.0,1759200749362967073
0.0,0.0,1759200749375854999
0.0,0.0,1759200749389042085
0.0,0.0,1759200749402066773
0.0,0.0,1759200749416877987
0.0,0.0,1759200749429987416
0.0,0.0,1759200749443617697
0.0,0.0,1759200749456797117
0.0,0.0,1759200749469869465
0.0,0.0,1759200749483219870
0.0,0.0,1759200749496502923
0.0,0.0,1759200749510682744
0.0,0.0,1759200749523744775
0.0,0.0,1759200749537342318
0.0,0.0,1759200749550789506
0.0,0.0,1759200749564057927
0.0,0.0,1759200749577364937
0.0,0.0,1759200749590685640
0.0,0.0,1759200749604961365
0.0,0.0,1759200749618650044
0.0,0.0,1759200749631584150
0.0,0.0,1759200749644432191
0.0,0.0,1759200749658175096
0.0,0.0,1759200749671521880
0.0,0.0,1759200749684148773
0.0,0.0,1759200749697414284
0.0,0.0,1759200749712230780
0.0,0.0,1759200749725389931
0.0,0.0,1759200749738631701
0.0,0.0,1759200749751541245
0.0,0.0,1759200749765347498
0.0,0.0,1759200749778493279
0.0,0.0,1759200749791537434
0.0,0.0,1759200749806322714
0.0,0.0,1759200749819425105
0.0,0.0,1759200749832194255
0.0,0.0,1759200749845772878
0.0,0.0,1759200749859300697
0.0,0.0,1759200749872298165
0.0,0.0,1759200749885477951
0.0,0.0,1759200749898629611
0.0,0.0,1759200749913388490
0.0,0.0,1759200749926635341
0.0,0.0,1759200749939785568
0.0,0.0,1759200749953365949
0.0,0.0,1759200749966353330
0.0,0.0,1759200749979806407
0.0,0.0,1759200749992682050
0.0,0.0,1759200750007729824
0.0,0.0,1759200750020976202
0.0,0.0,1759200750034170904
0.0,0.0,1759200750047582575
0.0,0.0,1759200750060566055
0.0,0.0,1759200750073418448
0.0,0.0,1759200750086394105
0.0,0.0,1759200750099642223
0.0,0.0,1759200750114776463
0.0,0.0,1759200750128040087
0.0,0.0,1759200750141427223
0.0,0.0,1759200750154406819
0.0,0.0,1759200750167783132
0.0,0.0,1759200750180783198
0.0,0.0,1759200750193928605
0.0,0.0,1759200750208644210
0.0,0.0,1759200750222005499
0.0,0.0,1759200750234900701
0.0,0.0,1759200750248031997
0.0,0.0,1759200750261608785
0.0,0.0,1759200750274972714
0.0,0.0,1759200750288301305
0.0,0.0,1759200750300825053
0.0,0.0,1759200750316251946
0.0,0.0,1759200750329327237
0.0,0.0,1759200750342559479
0.0,0.0,1759200750355701375
0.0,0.0,1759200750368684780
0.0,0.0,1759200750381712459
0.0,0.0,1759200750395497953
0.0,0.0,1759200750409987017
0.0,0.0,1759200750423185427
0.0,0.0,1759200750436640334
0.0,0.0,1759200750449860568
0.0,0.0,1759200750463078373
0.0,0.0,1759200750476266647
0.0,0.0,1759200750489473323
0.0,0.0,1759200750502875738
0.0,0.0,1759200750517259030
0.0,0.0,1759200750530983317
0.0,0.0,1759200750544221496
0.0,0.0,1759200750557315589
0.0,0.0,1759200750570328295
0.0,0.0,1759200750583442298
0.0,0.0,1759200750596542420
0.0,0.0,1759200750611073611
0.0,0.0,1759200750624440754
0.0,0.0,1759200750638014720
0.0,0.0,1759200750651132361
0.0,0.0,1759200750664483160
0.0,0.0,1759200750677388089
0.0,0.0,1759200750690707486
0.0,0.0,1759200750705414245
0.0,0.0,1759200750718686284
0.0,0.0,1759200750731757845
0.0,0.0,1759200750745034703
0.0,0.0,1759200750758197923
0.0,0.0,1759200750771932294
0.0,0.0,1759200750785078529
0.0,0.0,1759200750798421531
0.0,0.0,1759200750812949523
0.0,0.0,1759200750826334855
0.0,0.0,1759200750839449913
0.0,0.0,1759200750852808479
0.0,0.0,1759200750865997453
0.0,0.0,1759200750878892052
0.0,0.0,1759200750891835903
0.0,0.0,1759200750906476142
0.0,0.0,1759200750920152373
0.0,0.0,1759200750933295121
0.0,0.0,1759200750946607457
0.0,0.0,1759200750959710916
0.0,0.0,1759200750972833300
0.0,0.0,1759200750985779247
0.0,0.0,1759200750999107701
0.0,0.0,1759200751013636956
0.0,0.0,1759200751027074564
0.0,0.0,1759200751040337169
0.0,0.0,1759200751053605949
0.0,0.0,1759200751067322769
0.0,0.0,1759200751080084390
0.0,0.0,1759200751093403896
0.0,0.0,1759200751108129952
0.0,0.0,1759200751121343049
0.0,0.0,1759200751134828825
0.0,0.0,1759200751148045057
0.0,0.0,1759200751161026630
0.0,0.0,1759200751173393861
0.0,0.0,1759200751187168528
0.0,0.0,1759200751200630549
0.0,0.0,1759200751215168463
0.0,0.0,1759200751228760506
0.0,0.0,1759200751241065912
0.0,0.0,1759200751254842456
0.0,0.0,1759200751268095253
0.0,0.0,1759200751281622155
0.0,0.0,1759200751293867856
0.0,0.0,1759200751308008269
0.0,0.0,1759200751322420177
0.0,0.0,1759200751335710533
0.0,0.0,1759200751348754584
0.0,0.0,1759200751361588257
0.0,0.0,1759200751375693249
0.0,0.0,1759200751388860883
0.0,0.0,1759200751402130868
0.0,0.0,1759200751416436464
0.0,0.0,1759200751430037832
0.0,0.0,1759200751443051511
0.0,0.0,1759200751456387449
0.0,0.0,1759200751469314708
0.0,0.0,1759200751482732605
0.0,0.0,1759200751495917540
0.0,0.0,1759200751510209284
0.0,0.0,1759200751523849708
0.0,0.0,1759200751536297909
0.0,0.0,1759200751550285674
0.0,0.0,1759200751563276957
0.0,0.0,1759200751576466128
0.0,0.0,1759200751589098716
0.0,0.0,1759200751604385659
0.0,0.0,1759200751617358746
0.0,0.0,1759200751631041815
0.0,0.0,1759200751644278562
0.0,0.0,1759200751657239373
0.0,0.0,1759200751670419975
0.0,0.0,1759200751683675038
0.0,0.0,1759200751696834498
0.0,0.0,1759200751711492910
0.0,0.0,1759200751724845582
0.0,0.0,1759200751737611127
0.0,0.0,1759200751751539669
0.0,0.0,1759200751765075655
0.0,0.0,1759200751778034756
0.0,0.0,1759200751791471770
0.0,0.0,1759200751806215062
0.0,0.0,1759200751819297559
0.0,0.0,1759200751832783530
0.0,0.0,1759200751845853436
0.0,0.0,1759200751859196899
0.0,0.0,1759200751871535901
0.0,0.0,1759200751884944523
0.0,0.0,1759200751898479050
0.0,0.0,1759200751912936053
0.0,0.0,1759200751926190488
0.0,0.0,1759200751939366056
0.0,0.0,1759200751952684740
0.0,0.0,1759200751965811092
0.0,0.0,1759200751978227385
0.0,0.0,1759200751992635094
0.0,0.0,1759200752006782264
0.0,0.0,1759200752020184980
0.0,0.0,1759200752033350175
0.0,0.0,1759200752046581689
0.0,0.0,1759200752060454654
0.0,0.0,1759200752073486113
0.0,0.0,1759200752086478982
0.0,0.0,1759200752099842932
0.0,0.0,1759200752114783827
0.0,0.0,1759200752127986554
0.0,0.0,1759200752141209680
0.0,0.0,1759200752154786544
0.0,0.0,1759200752167351202
0.0,0.0,1759200752179913201
0.0,0.0,1759200752193593666
0.0,0.0,1759200752208374468
0.0,0.0,1759200752221781085
0.0,0.0,1759200752234861971
0.0,0.0,1759200752248118922
0.0,0.0,1759200752261294453
0.0,0.0,1759200752274296504
0.0,0.0,1759200752287445375
0.0,0.0,1759200752300672104
0.0,0.0,1759200752315294314
0.0,0.0,1759200752328698111
0.0,0.0,1759200752341552094
0.0,0.0,1759200752355295039
0.0,0.0,1759200752368290713
0.0,0.0,1759200752381533308
0.0,0.0,1759200752394649217
0.0,0.0,1759200752409561343
0.0,0.0,1759200752422699116
0.0,0.0,1759200752435875957
0.0,0.0,1759200752449049231
0.0,0.0,1759200752462562835
0.0,0.0,1759200752475744492
0.0,0.0,1759200752488684197
0.0,0.0,1759200752501838806
0.0,0.0,1759200752516650423
0.0,0.0,1759200752530112357
0.0,0.0,1759200752543331324
0.0,0.0,1759200752556334599
0.0,0.0,1759200752569715433
0.0,0.0,1759200752582213553
0.0,0.0,1759200752596557520
0.0,0.0,1759200752610766436
0.0,0.0,1759200752623918597
0.0,0.0,1759200752637377248
0.0,0.0,1759200752650599391
0.0,0.0,1759200752663444838
0.0,0.0,1759200752676668354
0.0,0.0,1759200752689821329
0.0,0.0,1759200752704456157
0.0,0.0,1759200752718091335
0.0,0.0,1759200752730790235
0.0,0.0,1759200752743841049
0.0,0.0,1759200752757563653
0.0,0.0,1759200752770725574
0.0,0.0,1759200752783888633
0.0,0.0,1759200752797310718
0.0,0.0,1759200752811744770
0.0,0.0,1759200752825259413
0.0,0.0,1759200752838470839
0.0,0.0,1759200752851696064
0.0,0.0,1759200752865123641
0.0,0.0,1759200752878058816
0.0,0.0,1759200752891264971
0.0,0.0,1759200752905981635
0.0,0.0,1759200752919311273
0.0,0.0,1759200752932524785
0.0,0.0,1759200752945736868
0.0,0.0,1759200752958837126
0.0,0.0,1759200752972062998
0.0,0.0,1759200752985350649
0.0,0.0,1759200752998282352
0.0,0.0,1759200753013267342
0.0,0.0,1759200753026431068
0.0,0.0,1759200753039646818
0.0,0.0,1759200753053067665
0.0,0.0,1759200753065373793
0.0,0.0,1759200753079386644
0.0,0.0,1759200753092633726
0.0,0.0,1759200753106816111
0.0,0.0,1759200753120270009
0.0,0.0,1759200753133867176
0.0,0.0,1759200753146785940
0.0,0.0,1759200753160343767
0.0,0.0,1759200753173417923
0.0,0.0,1759200753186724786
0.0,0.0,1759200753199885528
0.0,0.0,1759200753214715388
0.0,0.0,1759200753227980471
0.0,0.0,1759200753241137037
