vx,vy,stamp
0.0,0.0,1759204127931971398
0.0,0.0,1759204127932065350
0.0,0.0,1759204127932158445
0.0,0.0,1759204127936226586
0.0,0.0,1759204127949699928
0.0,0.0,1759204127962946781
0.0,0.0,1759204127976386340
0.0,0.0,1759204127990749270
0.0,0.0,1759204128004652306
0.0,0.0,1759204128017611787
0.0,0.0,1759204128031092671
0.0,0.0,1759204128043997221
0.0,0.0,1759204128057285890
0.0,0.0,1759204128071022763
0.0,0.0,1759204128085452130
0.0,0.0,1759204128098901086
0.0,0.0,1759204128111544847
0.0,0.0,1759204128125684529
0.0,0.0,1759204128138770745
0.0,0.0,1759204128151801492
0.0,0.0,1759204128164770600
0.0,0.0,1759204128179218837
0.0,0.0,1759204128192831823
0.0,0.0,1759204128206093010
0.0,0.0,1759204128219124242
0.0,0.0,1759204128232448341
0.0,0.0,1759204128245596534
0.0,0.0,1759204128259098478
0.0,0.0,1759204128272329147
0.0,0.0,1759204128287374770
0.0,0.0,1759204128300695329
0.0,0.0,1759204128314136866
0.0,0.0,1759204128327356257
0.0,0.0,1759204128340373911
0.0,0.0,1759204128353728816
0.0,0.0,1759204128366639053
0.0,0.0,1759204128381537235
0.0,0.0,1759204128394820929
0.0,0.0,1759204128408139726
0.0,0.0,1759204128421187034
0.0,0.0,1759204128434673897
0.0,0.0,1759204128447891078
0.0,0.0,1759204128461054452
0.0,0.0,1759204128473814635
0.0,0.0,1759204128488949920
0.0,0.0,1759204128502467985
0.0,0.0,1759204128515705436
0.0,0.0,1759204128528651423
0.0,0.0,1759204128542329675
0.0,0.0,1759204128555418318
0.0,0.0,1759204128568735978
0.0,0.0,1759204128583073907
0.0,0.0,1759204128596748653
0.0,0.0,1759204128610060640
0.0,0.0,1759204128623270934
0.0,0.0,1759204128636448064
0.0,0.0,1759204128649683172
0.0,0.0,1759204128662686265
0.0,0.0,1759204128676146123
0.0,0.0,1759204128690923724
0.0,0.0,1759204128704014361
0.0,0.0,1759204128717538675
0.0,0.0,1759204128730862873
0.0,0.0,1759204128743995175
0.0,0.0,1759204128756984911
0.0,0.0,1759204128770557406
0.0,0.0,1759204128784908015
0.0,0.0,1759204128798633702
0.0,0.0,1759204128811788653
0.0,0.0,1759204128825143424
0.0,0.0,1759204128838331530
0.0,0.0,1759204128851638500
0.0,0.0,1759204128864856124
0.0,0.0,1759204128879499345
0.0,0.0,1759204128892943502
0.0,0.0,1759204128906107248
0.0,0.0,1759204128919379850
0.0,0.0,1759204128932688410
0.0,0.0,1759204128945876559
0.0,0.0,1759204128958659732
0.0,0.0,1759204128972622125
0.0,0.0,1759204128987482778
0.0,0.0,1759204129000851368
0.0,0.0,1759204129014189176
0.0,0.0,1759204129027339901
0.0,0.0,1759204129040396324
0.0,0.0,1759204129053572794
0.0,0.0,1759204129066602549
0.0,0.0,1759204129081529027
0.0,0.0,1759204129094894867
0.0,0.0,1759204129108122307
0.0,0.0,1759204129120641153
0.0,0.0,1759204129134617991
0.0,0.0,1759204129147577862
0.0,0.0,1759204129160766166
0.0,0.0,1759204129174171412
0.0,0.0,1759204129188891509
0.0,0.0,1759204129202464233
0.0,0.0,1759204129215674842
