actuation_accel_cmd,actuation_brake_cmd,actuation_steer_cmd,stamp
1.0,0.0,-0.4345308542251587,1759204127887718782
1.0,0.0,-0.4345846474170685,1759204127932018795
1.0,0.0,-0.4345846474170685,1759204127932116518
1.0,0.0,-0.4345846474170685,1759204127932188780
1.0,0.0,-0.4345846474170685,1759204127932218244
1.0,0.0,-0.4346383213996887,1759204127937736894
1.0,0.0,-0.4346383213996887,1759204127947884063
1.0,0.0,-0.4346383213996887,1759204127957781598
1.0,0.0,-0.4346383213996887,1759204127967757017
1.0,0.0,-0.4346383213996887,1759204127977756518
1.0,0.0,-0.4346383213996887,1759204127987757128
1.0,0.0,-0.4346505105495453,1759204127997732696
1.0,0.0,-0.4346505105495453,1759204128007743363
1.0,0.0,-0.4346505105495453,1759204128017751987
1.0,0.0,-0.4346505105495453,1759204128027740120
1.0,0.0,-0.4346628189086914,1759204128037768505
1.0,0.0,-0.4346628189086914,1759204128047789760
1.0,0.0,-0.4346628189086914,1759204128057793020
1.0,0.0,-0.4346628189086914,1759204128067864955
1.0,0.0,-0.4346628189086914,1759204128077737659
1.0,0.0,-0.4346628189086914,1759204128087869477
1.0,0.0,-0.434675008058548,1759204128097800335
1.0,0.0,-0.434675008058548,1759204128107776840
1.0,0.0,-0.434675008058548,1759204128117728556
1.0,0.0,-0.434675008058548,1759204128127794663
1.0,0.0,-0.4346872568130493,1759204128137733250
1.0,0.0,-0.4346872568130493,1759204128147740022
1.0,0.0,-0.4346872568130493,1759204128157740026
1.0,0.0,-0.4346872568130493,1759204128167754600
1.0,0.0,-0.4346872568130493,1759204128177827238
1.0,0.0,-0.4346872568130493,1759204128187704998
1.0,0.0,-0.4347284436225891,1759204128197712722
1.0,0.0,-0.4347284436225891,1759204128207728218
1.0,0.0,-0.4347284436225891,1759204128217721603
1.0,0.0,-0.4347284436225891,1759204128227735285
1.0,0.0,-0.4347284436225891,1759204128237718628
1.0,0.0,-0.4347284436225891,1759204128247721898
1.0,0.0,-0.4347696304321289,1759204128257714765
1.0,0.0,-0.4347696304321289,1759204128267713291
1.0,0.0,-0.4347696304321289,1759204128277733816
1.0,0.0,-0.4347696304321289,1759204128287771430
1.0,0.0,-0.4348105192184448,1759204128297790270
1.0,0.0,-0.4348105192184448,1759204128307760760
1.0,0.0,-0.4348105192184448,1759204128317768184
1.0,0.0,-0.4348105192184448,1759204128327716950
1.0,0.0,-0.43488022685050964,1759204128337758551
1.0,0.0,-0.43488022685050964,1759204128347718865
1.0,0.0,-0.43488022685050964,1759204128357760881
1.0,0.0,-0.43488022685050964,1759204128367728680
1.0,0.0,-0.43488022685050964,1759204128377697422
1.0,0.0,-0.43488022685050964,1759204128387699494
1.0,0.0,-0.4349328279495239,1759204128397766337
1.0,0.0,-0.4349328279495239,1759204128407817230
1.0,0.0,-0.4349328279495239,1759204128417757980
1.0,0.0,-0.4349328279495239,1759204128427739491
1.0,0.0,-0.4349328279495239,1759204128437735690
1.0,0.0,-0.4349328279495239,1759204128447759943
1.0,0.0,-0.4349851608276367,1759204128457718057
1.0,0.0,-0.4349851608276367,1759204128467738580
1.0,0.0,-0.4349851608276367,1759204128477732883
1.0,0.0,-0.4349851608276367,1759204128487767638
1.0,0.0,-0.43503761291503906,1759204128497713528
1.0,0.0,-0.43503761291503906,1759204128507727032
1.0,0.0,-0.43503761291503906,1759204128517760891
1.0,0.0,-0.43503761291503906,1759204128527766486
1.0,0.0,-0.43508994579315186,1759204128537769622
1.0,0.0,-0.43508994579315186,1759204128547731463
1.0,0.0,-0.43508994579315186,1759204128557734380
1.0,0.0,-0.43508994579315186,1759204128567742318
1.0,0.0,-0.43508994579315186,1759204128577703234
1.0,0.0,-0.43508994579315186,1759204128587814218
1.0,0.0,-0.4351424276828766,1759204128597721043
1.0,0.0,-0.4351424276828766,1759204128607702644
1.0,0.0,-0.4351424276828766,1759204128617727521
1.0,0.0,-0.4351424276828766,1759204128627707615
1.0,0.0,-0.43519482016563416,1759204128637787655
1.0,0.0,-0.43519482016563416,1759204128647747527
1.0,0.0,-0.43519482016563416,1759204128657701078
1.0,0.0,-0.43519482016563416,1759204128667747854
1.0,0.0,-0.43519482016563416,1759204128677712582
1.0,0.0,-0.43519482016563416,1759204128687813529
1.0,0.0,-0.4352473020553589,1759204128697717694
1.0,0.0,-0.4352473020553589,1759204128707799538
1.0,0.0,-0.4352473020553589,1759204128717794536
1.0,0.0,-0.4352473020553589,1759204128727720905
1.0,0.0,-0.4352473020553589,1759204128737744545
1.0,0.0,-0.4352473020553589,1759204128747708991
1.0,0.0,-0.43529969453811646,1759204128757752205
1.0,0.0,-0.43529969453811646,1759204128767718962
1.0,0.0,-0.43529969453811646,1759204128777722962
1.0,0.0,-0.43529969453811646,1759204128787751464
1.0,0.0,-0.43532317876815796,1759204128797764826
1.0,0.0,-0.43532317876815796,1759204128807736679
1.0,0.0,-0.43532317876815796,1759204128817723113
1.0,0.0,-0.43532317876815796,1759204128827743298
1.0,0.0,-0.43532317876815796,1759204128837729588
1.0,0.0,-0.43532317876815796,1759204128847781829
1.0,0.0,-0.4353465735912323,1759204128857788845
1.0,0.0,-0.4353465735912323,1759204128867722140
1.0,0.0,-0.4353465735912323,1759204128877757370
1.0,0.0,-0.4353465735912323,1759204128887709035
1.0,0.0,-0.43536993861198425,1759204128897743583
1.0,0.0,-0.43536993861198425,1759204128907724668
1.0,0.0,-0.43536993861198425,1759204128917714168
1.0,0.0,-0.43536993861198425,1759204128927735373
1.0,0.0,-0.43539321422576904,1759204128937744379
1.0,0.0,-0.43539321422576904,1759204128947710694
1.0,0.0,-0.43539321422576904,1759204128957696563
1.0,0.0,-0.43539321422576904,1759204128967767190
1.0,0.0,-0.43539321422576904,1759204128977724818
1.0,0.0,-0.43539321422576904,1759204128987823966
1.0,0.0,-0.4354459047317505,1759204128997800813
1.0,0.0,-0.4354459047317505,1759204129007845723
1.0,0.0,-0.4354459047317505,1759204129017849740
