ekf_x,ekf_y,ekf_yaw,stamp
89671.94405989941,43129.922352423615,-2.189506942766895,1759203227306836560
89671.94400285267,43129.92226865071,-2.189505562535465,1759203227306895763
89671.94400285119,43129.922268648625,-2.1895055625354645,1759203227315416955
89671.94394697656,43129.92218652255,-2.1895041820179544,1759203227336032107
89671.943946975,43129.92218652035,-2.189504182017954,1759203227355051652
89671.94394697258,43129.922186516924,-2.189504182017954,1759203227374425634
89671.94397834466,43129.92222898845,-2.1895026904021857,1759203227395928685
89671.94397834835,43129.92222899365,-2.189502690402185,1759203227414110637
89671.94400910877,43129.92227060709,-2.189501198689739,1759203227436153964
89671.94400911304,43129.92227061307,-2.189501198689738,1759203227453801130
89671.94400911331,43129.92227061346,-2.189501198689738,1759203227475393574
89671.9440394533,43129.922311637434,-2.1894997070759783,1759203227495144968
89671.94403945404,43129.92231163848,-2.189499707075978,1759203227514536504
89671.94406920463,43129.92235183567,-2.1894982154642637,1759203227534653163
89671.94406920542,43129.922351836765,-2.1894982154642633,1759203227554535919
89671.9440692073,43129.92235183939,-2.1894982154642633,1759203227573969032
89671.94418511285,43129.92251510237,-2.189496613669069,1759203227596244940
89671.9441851367,43129.92251513588,-2.1894966136690672,1759203227614298208
89671.94429882702,43129.92267528886,-2.189495011867854,1759203227636498374
89671.94429884825,43129.922675318674,-2.189495011867853,1759203227654005404
89671.94429885154,43129.922675323294,-2.189495011867853,1759203227674704270
89671.94441107815,43129.92283342183,-2.189493409905868,1759203227695105415
89671.94441109318,43129.92283344295,-2.189493409905867,1759203227714120040
89671.94452106416,43129.92298837469,-2.1894918079163754,1759203227736042790
89671.9445210799,43129.92298839681,-2.1894918079163745,1759203227754165658
89671.94452108094,43129.92298839825,-2.1894918079163745,1759203227775724695
89671.9445429737,43129.923017564244,-2.189490317541859,1759203227796030483
89671.94454297773,43129.923017569905,-2.1894903175418583,1759203227813755926
89671.94456444988,43129.92304614604,-2.1894888272855457,1759203227835183393
89671.94456445043,43129.92304614684,-2.1894888272855453,1759203227855379424
89671.94456445132,43129.923046148084,-2.1894888272855453,1759203227874053130
89671.94458565259,43129.92307434462,-2.189487337105185,1759203227895741540
89671.94458565532,43129.923074348444,-2.189487337105184,1759203227913806054
89671.94460644723,43129.923101970875,-2.1894858469032212,1759203227936131687
89671.9446064501,43129.923101974906,-2.1894858469032203,1759203227954080129
89671.94460645027,43129.92310197517,-2.1894858469032203,1759203227974792020
89671.94459103911,43129.92307424677,-2.1894845994301333,1759203227995085761
89671.94459103867,43129.92307424617,-2.189484599430133,1759203228014849457
89671.94457598984,43129.92304702881,-2.189483351934512,1759203228034899464
89671.94457598936,43129.92304702814,-2.1894833519345114,1759203228054921444
89671.9445759886,43129.923047027085,-2.1894833519345114,1759203228074789062
89671.94456117164,43129.92302013746,-2.1894821037857257,1759203228095725320
89671.94456116803,43129.923020132395,-2.189482103785724,1759203228114048121
89671.94454668753,43129.92299371746,-2.18948085543556,1759203228135827211
89671.94454668359,43129.92299371193,-2.189480855435558,1759203228153866169
89671.94454668298,43129.92299371108,-2.189480855435558,1759203228175616734
89671.94439457764,43129.92277440722,-2.189479587089954,1759203228194889660
89671.94439457197,43129.92277439927,-2.1894795870899535,1759203228214709300
89671.94424587105,43129.92255987744,-2.1894783185582107,1759203228235103736
89671.94424586702,43129.92255987177,-2.1894783185582103,1759203228254836975
89671.94424585818,43129.92255985933,-2.1894783185582103,1759203228274028567
89671.94409902774,43129.92234796499,-2.1894770460996593,1759203228295774949
89671.9440989965,43129.9223479211,-2.1894770460996575,1759203228314096113
89671.94395501907,43129.922140034425,-2.1894757731043044,1759203228336174211
89671.94395499164,43129.922139995906,-2.1894757731043035,1759203228353682391
89671.94395498741,43129.92213998996,-2.1894757731043035,1759203228375187045
89671.94379772594,43129.921920408815,-2.1894741325952096,1759203228395388190
89671.94379770957,43129.92192038581,-2.189474132595209,1759203228414333547
89671.94364390816,43129.92170566231,-2.189472492196366,1759203228436518048
89671.94364390412,43129.921705656634,-2.1894724921963657,1759203228454819181
89671.94364389512,43129.92170564399,-2.1894724921963657,1759203228474110314
89671.9434919797,43129.921493567184,-2.1894708527526943,1759203228496400981
89671.94349194806,43129.92149352274,-2.1894708527526925,1759203228514093249
89671.94339389079,43129.92135462728,-2.1894693396740372,1759203228535285862
89671.9433938878,43129.92135462307,-2.189469339674037,1759203228555040180
89671.94339388312,43129.92135461649,-2.189469339674037,1759203228573900991
89671.9433331019,43129.92127257188,-2.1894675958918537,1759203228595632168
89671.94333309379,43129.92127256048,-2.189467595891853,1759203228613826726
89671.94322249667,43129.9211230065,-2.1894657275736473,1759203228635890342
89671.94322248184,43129.92112298566,-2.1894657275736464,1759203228654202667
89671.94322248091,43129.921122984335,-2.1894657275736464,1759203228674687942
89671.94311340088,43129.92097555776,-2.1894638607922454,1759203228694982885
89671.94311339814,43129.920975553934,-2.189463860792245,1759203228714561808
89671.94300644238,43129.920831107775,-2.1894619946607152,1759203228735305853
89671.94300643951,43129.92083110377,-2.189461994660715,1759203228755735047
89671.9430064351,43129.920831097596,-2.189461994660715,1759203228774035340
89671.94300253398,43129.920826502275,-2.189460375518878,1759203228795643098
89671.9430025331,43129.920826501024,-2.1894603755188773,1759203228813720538
89671.94299870217,43129.92082200393,-2.189458756440572,1759203228836154620
89671.94299870163,43129.92082200317,-2.189458756440571,1759203228854178986
89671.94299870159,43129.92082200312,-2.189458756440571,1759203228874960803
89671.9429444038,43129.92074905305,-2.1894570163129554,1759203228895295096
89671.9429444025,43129.92074905124,-2.189457016312955,1759203228914710729
89671.94289115522,43129.92067757491,-2.1894552762494017,1759203228935694658
89671.9428911538,43129.92067757293,-2.1894552762494013,1759203228954852569
89671.94289115047,43129.92067756826,-2.1894552762494013,1759203228974132390
89671.94288909604,43129.92067556399,-2.1894536574636465,1759203228996450763
89671.94288909536,43129.92067556303,-2.1894536574636447,1759203229014008108
89671.94288909524,43129.92067556288,-2.1894536574636447,1759203229035580486
89671.94288707254,43129.9206736028,-2.1894520387084033,1759203229054862351
89671.9428870725,43129.920673602726,-2.1894520387084033,1759203229075885574
89671.942885071,43129.92067167207,-2.189450419957582,1759203229094738816
89671.94288507079,43129.920671671774,-2.189450419957581,1759203229113873462
89671.94288310128,43129.92066978569,-2.189448801214489,1759203229136048335
89671.94288310106,43129.92066978538,-2.189448801214488,1759203229154293853
89671.94288310104,43129.92066978536,-2.189448801214488,1759203229175113650
89671.94296826975,43129.9207923244,-2.1894470803307082,1759203229195501413
89671.94296827179,43129.92079232725,-2.189447080330708,1759203229214631526
89671.94305171611,43129.92091244394,-2.189445359497832,1759203229235484839
89671.9430517184,43129.92091244714,-2.1894453594978316,1759203229254690804
89671.94305172197,43129.92091245216,-2.1894453594978316,1759203229274260012
89671.94313405603,43129.92103100915,-2.1894436375108413,1759203229296134462
89671.94313406719,43129.92103102484,-2.1894436375108404,1759203229314188481
89671.9431340679,43129.92103102586,-2.1894436375108404,1759203229334637103
89671.94321473889,43129.9211472466,-2.189441915418562,1759203229355211926
89671.94321473963,43129.92114724765,-2.189441915418562,1759203229375319702
89671.94329425073,43129.92126183893,-2.1894401928636005,1759203229395180345
89671.9432942528,43129.92126184181,-2.1894401928636,1759203229415013082
89671.943294256,43129.9212618463,-2.1894401928636,1759203229434275348
89671.94337215376,43129.92137417113,-2.1894384701333505,1759203229456197708
89671.94337215711,43129.921374175836,-2.1894384701333505,1759203229473952377
89671.94344902424,43129.92148505271,-2.189436746789748,1759203229496333271
89671.94344904015,43129.92148507506,-2.189436746789746,1759203229514183882
89671.94352441328,43129.92159385309,-2.1894350233505997,1759203229536345817
89671.94352443058,43129.92159387741,-2.189435023350598,1759203229554101174
89671.94352443326,43129.92159388116,-2.189435023350598,1759203229574841205
89671.94354768153,43129.92163189335,-2.189433174976473,1759203229595479195
89671.94354768259,43129.921631894824,-2.1894331749764726,1759203229615676077
89671.94354768415,43129.92163189701,-2.1894331749764726,1759203229634753070
