vx,vy,stamp
0.0,0.0,1759203227306772117
0.0,0.0,1759203227306853689
0.0,0.0,1759203227308448383
0.0,0.0,1759203227321330048
0.0,0.0,1759203227334834779
0.0,0.0,1759203227348146647
0.0,0.0,1759203227361357448
0.0,0.0,1759203227374614635
0.0,0.0,1759203227387643965
0.0,0.0,1759203227402589328
0.0,0.0,1759203227416149786
0.0,0.0,1759203227429239594
0.0,0.0,1759203227442574643
0.0,0.0,1759203227455758853
0.0,0.0,1759203227469021173
0.0,0.0,1759203227482412853
0.0,0.0,1759203227496928629
0.0,0.0,1759203227510382466
0.0,0.0,1759203227523595069
0.0,0.0,1759203227536763864
0.0,0.0,1759203227550098506
0.0,0.0,1759203227563271735
0.0,0.0,1759203227576529138
0.0,0.0,1759203227589808280
0.0,0.0,1759203227604800290
0.0,0.0,1759203227617927803
0.0,0.0,1759203227631189691
0.0,0.0,1759203227644356049
0.0,0.0,1759203227657642871
0.0,0.0,1759203227670669699
0.0,0.0,1759203227684139938
0.0,0.0,1759203227699031426
0.0,0.0,1759203227712309630
0.0,0.0,1759203227725510065
0.0,0.0,1759203227738451322
0.0,0.0,1759203227751979984
0.0,0.0,1759203227765204825
0.0,0.0,1759203227778745645
0.0,0.0,1759203227791653481
0.0,0.0,1759203227806703827
0.0,0.0,1759203227819968352
0.0,0.0,1759203227832991515
0.0,0.0,1759203227846275229
0.0,0.0,1759203227859330394
0.0,0.0,1759203227872806902
0.0,0.0,1759203227885917740
0.0,0.0,1759203227900354737
0.0,0.0,1759203227913899242
0.0,0.0,1759203227927131254
0.0,0.0,1759203227939530352
0.0,0.0,1759203227954189346
0.0,0.0,1759203227967605120
0.0,0.0,1759203227980246123
0.0,0.0,1759203227995315943
0.0,0.0,1759203228008599926
0.0,0.0,1759203228021635808
0.0,0.0,1759203228035259170
0.0,0.0,1759203228048374887
0.0,0.0,1759203228061599863
0.0,0.0,1759203228075082243
0.0,0.0,1759203228088263397
0.0,0.0,1759203228102990194
0.0,0.0,1759203228116311350
0.0,0.0,1759203228129587700
0.0,0.0,1759203228143078746
0.0,0.0,1759203228155814700
0.0,0.0,1759203228169113359
0.0,0.0,1759203228182336675
0.0,0.0,1759203228196693326
0.0,0.0,1759203228210124258
0.0,0.0,1759203228223712714
0.0,0.0,1759203228236946163
0.0,0.0,1759203228250203528
0.0,0.0,1759203228263450631
0.0,0.0,1759203228276678997
0.0,0.0,1759203228289172833
0.0,0.0,1759203228304439179
0.0,0.0,1759203228317892701
0.0,0.0,1759203228331455251
0.0,0.0,1759203228344565701
0.0,0.0,1759203228357797181
0.0,0.0,1759203228370994476
0.0,0.0,1759203228384067225
0.0,0.0,1759203228398770854
0.0,0.0,1759203228412429826
0.0,0.0,1759203228425615489
0.0,0.0,1759203228438747036
0.0,0.0,1759203228451715557
0.0,0.0,1759203228465639100
0.0,0.0,1759203228478321254
0.0,0.0,1759203228491497218
0.0,0.0,1759203228506125465
0.0,0.0,1759203228519743362
0.0,0.0,1759203228532967005
0.0,0.0,1759203228546215533
0.0,0.0,1759203228559662336
0.0,0.0,1759203228572977056
0.0,0.0,1759203228585870092
0.0,0.0,1759203228600921021
0.0,0.0,1759203228614200565
0.0,0.0,1759203228627521902
0.0,0.0,1759203228640645835
0.0,0.0,1759203228654351311
0.0,0.0,1759203228667440303
0.0,0.0,1759203228680608891
0.0,0.0,1759203228695647306
0.0,0.0,1759203228708681879
0.0,0.0,1759203228722143531
0.0,0.0,1759203228735507340
0.0,0.0,1759203228748021147
0.0,0.0,1759203228761250808
0.0,0.0,1759203228774835603
0.0,0.0,1759203228787698230
0.0,0.0,1759203228802540703
0.0,0.0,1759203228815842023
0.0,0.0,1759203228829185311
0.0,0.0,1759203228842135590
0.0,0.0,1759203228856142214
0.0,0.0,1759203228869151945
0.0,0.0,1759203228882539979
0.0,0.0,1759203228897041176
0.0,0.0,1759203228910467268
0.0,0.0,1759203228923951971
0.0,0.0,1759203228937295053
0.0,0.0,1759203228950408513
0.0,0.0,1759203228963624578
0.0,0.0,1759203228976722463
0.0,0.0,1759203228989992481
0.0,0.0,1759203229004742831
0.0,0.0,1759203229018035858
0.0,0.0,1759203229031318788
0.0,0.0,1759203229044805465
0.0,0.0,1759203229058072751
0.0,0.0,1759203229071222320
0.0,0.0,1759203229084737062
0.0,0.0,1759203229099521368
0.0,0.0,1759203229112741726
0.0,0.0,1759203229126193787
0.0,0.0,1759203229139202253
0.0,0.0,1759203229151696138
0.0,0.0,1759203229164801437
0.0,0.0,1759203229178616613
0.0,0.0,1759203229191802921
0.0,0.0,1759203229206370081
0.0,0.0,1759203229219803355
0.0,0.0,1759203229233039438
0.0,0.0,1759203229246609236
0.0,0.0,1759203229259835530
0.0,0.0,1759203229273064309
0.0,0.0,1759203229286550630
0.0,0.0,1759203229301012909
0.0,0.0,1759203229314599704
0.0,0.0,1759203229328207801
0.0,0.0,1759203229340653286
0.0,0.0,1759203229354429957
0.0,0.0,1759203229367640124
0.0,0.0,1759203229380717082
0.0,0.0,1759203229395313728
0.0,0.0,1759203229408722580
0.0,0.0,1759203229421727552
0.0,0.0,1759203229435441183
0.0,0.0,1759203229448662677
0.0,0.0,1759203229461524812
0.0,0.0,1759203229475062972
0.0,0.0,1759203229487747284
0.0,0.0,1759203229502896716
0.0,0.0,1759203229516196302
0.0,0.0,1759203229529765222
0.0,0.0,1759203229542790919
0.0,0.0,1759203229555993578
0.0,0.0,1759203229569182430
0.0,0.0,1759203229582586326
0.0,0.0,1759203229596839606
0.0,0.0,1759203229610593484
0.0,0.0,1759203229623758687
0.0,0.0,1759203229636717702
0.0,0.0,1759203229650759893
