steer,stamp
-0.09081082791090012,1759205972840827133
-0.09105785936117172,1759205972879977000
-0.09106322377920151,1759205972880087926
-0.09106859564781189,1759205972880143407
-0.09106322377920151,1759205972880164147
-0.0909397080540657,1759205972880174689
-0.09013417363166809,1759205972880184528
-0.088668093085289,1759205972880194328
-0.0869872123003006,1759205972880805198
-0.0854298397898674,1759205972885830739
-0.08381876349449158,1759205972890938371
-0.08224528282880783,1759205972895835733
-0.08063957840204239,1759205972900815612
-0.07891573011875153,1759205972905851094
-0.0773046612739563,1759205972910777678
-0.076214499771595,1759205972915803194
-0.07580099254846573,1759205972920877876
-0.07586006820201874,1759205972925855650
-0.0760909840464592,1759205972930854113
-0.07627357542514801,1759205972935872977
-0.07635413110256195,1759205972940911199
-0.07638097554445267,1759205972945810348
-0.0764024630188942,1759205972950794562
-0.07641319930553436,1759205972955839753
-0.07646690309047699,1759205972960939585
-0.07684282213449478,1759205972966013998
-0.07734224945306778,1759205972970916372
-0.07766983658075333,1759205972975828483
-0.07772890478372574,1759205972980798078
-0.07787390798330307,1759205972985919971
-0.07806723564863205,1759205972990783000
-0.07819612324237823,1759205972995845848
-0.07833574712276459,1759205973000780213
-0.07845926284790039,1759205973005774223
-0.07850759476423264,1759205973010799905
-0.07813704758882523,1759205973015774860
-0.07712206989526749,1759205973020856468
-0.07563451677560806,1759205973025816389
-0.07405029237270355,1759205973030808241
-0.07297087460756302,1759205973035805156
-0.07225126028060913,1759205973040799181
-0.07170349359512329,1759205973045822073
-0.07147794216871262,1759205973050811377
-0.07144035398960114,1759205973055832495
-0.07138127833604813,1759205973060807522
-0.07092481106519699,1759205973065765334
-0.06970039010047913,1759205973070813206
-0.06828264892101288,1759205973075804063
-0.06743952631950378,1759205973080866206
-0.06700453162193298,1759205973085785717
-0.06671454012393951,1759205973090849727
-0.06667694449424744,1759205973095800810
-0.06670916825532913,1759205973100891750
-0.06675750017166138,1759205973105820980
-0.06678435206413269,1759205973110872212
-0.06651584059000015,1759205973115777862
-0.0661291852593422,1759205973120890666
-0.06588751822710037,1759205973125815494
-0.06581234186887741,1759205973130776803
-0.06580159813165665,1759205973135771132
-0.06579622626304626,1759205973140825824
-0.06579622626304626,1759205973145771659
-0.06580159813165665,1759205973150790916
-0.06579085439443588,1759205973155783294
-0.06580159813165665,1759205973160789637
-0.06605400145053864,1759205973165790190
-0.06630102545022964,1759205973170785433
-0.06648361682891846,1759205973175794428
-0.06661250442266464,1759205973180786823
-0.06662861257791519,1759205973185753788
-0.06661250442266464,1759205973190859635
-0.06660713255405426,1759205973195812381
-0.06659639626741409,1759205973200785522
-0.06658565253019333,1759205973205823974
-0.06655342876911163,1759205973210789244
-0.06611306965351105,1759205973215783512
-0.06499605625867844,1759205973220897379
-0.06327757984399796,1759205973225880450
-0.06165039911866188,1759205973230812909
-0.060549501329660416,1759205973235814532
-0.05944322794675827,1759205973240781532
-0.058283254504203796,1759205973245804051
-0.05788585916161537,1759205973250778538
-0.05788048729300499,1759205973255778288
-0.0579395592212677,1759205973260769233
-0.05836381018161774,1759205973265787839
-0.05885250121355057,1759205973270787734
-0.05916934832930565,1759205973275793326
-0.05928748846054077,1759205973280789697
-0.05931434407830238,1759205973285804744
-0.059308972209692,1759205973290823476
-0.059276752173900604,1759205973295793099
-0.05924990028142929,1759205973300800710
-0.05923378840088844,1759205973305807624
-0.05916934832930565,1759205973310789932
-0.05854639783501625,1759205973315773756
-0.0573166087269783,1759205973320831479
-0.05563035607337952,1759205973325912055
-0.05444353446364403,1759205973330768270
-0.05370780825614929,1759205973335812236
-0.053208377212285995,1759205973340809580
-0.05312245339155197,1759205973345808662
-0.053224485367536545,1759205973350825852
-0.05331040918827057,1759205973355828205
-0.05331578105688095,1759205973360825843
-0.05289153382182121,1759205973365824039
-0.05174766853451729,1759205973370851612
-0.050120484083890915,1759205973375827217
-0.048504043370485306,1759205973380791855
-0.04691444709897041,1759205973385775569
-0.045765217393636703,1759205973390941226
-0.044556912034749985,1759205973395946975
-0.043364718556404114,1759205973400780832
-0.042881399393081665,1759205973405780164
-0.04282769560813904,1759205973410797552
-0.04284917563199997,1759205973415821683
-0.043386198580265045,1759205973420860596
-0.044556912034749985,1759205973425799725
-0.04614650458097458,1759205973430820606
-0.04772535338997841,1759205973435783047
-0.04911624640226364,1759205973440807464
-0.05052325502038002,1759205973445829863
-0.05158119276165962,1759205973450808410
-0.05264987424015999,1759205973455842244
-0.05365947633981705,1759205973460804717
-0.054003167897462845,1759205973465878654
-0.05364873632788658,1759205973470795212
-0.05296671763062477,1759205973475902028
-0.05175303667783737,1759205973480821026
-0.0500614158809185,1759205973485795927
-0.04845571145415306,1759205973490805380
-0.04696815460920334,1759205973495957517
-0.04542152211070061,1759205973500852918
-0.043821193277835846,1759205973505809480
-0.04230141267180443,1759205973510945900
-0.04064737632870674,1759205973515785923
-0.038896676152944565,1759205973520851249
-0.03726949170231819,1759205973525794862
-0.03563156723976135,1759205973530832920
-0.03386475890874863,1759205973535930822
-0.03210868686437607,1759205973541016880
-0.030363356694579124,1759205973545839275
-0.028591176494956017,1759205973550911341
-0.02676529437303543,1759205973555883008
-0.02500385418534279,1759205973560802141
-0.023220933973789215,1759205973565905114
-0.02141653373837471,1759205973570801968
-0.019708795472979546,1759205973575837657
-0.018479008227586746,1759205973580798257
-0.01715792901813984,1759205973585921122
-0.015826109796762466,1759205973590932052
-0.015310565009713173,1759205973596024803
-0.015428710728883743,1759205973600796674
-0.01555759645998478,1759205973605890955
-0.015665000304579735,1759205973610815355
-0.016169803217053413,1759205973615916963
-0.017361998558044434,1759205973620778154
-0.018978441134095192,1759205973625805001
-0.020605625584721565,1759205973630773061
-0.0216528233140707,1759205973635781633
-0.022635577246546745,1759205973640774432
-0.023586111143231392,1759205973645830941
-0.023768698796629906,1759205973650827134
-0.02369888499379158,1759205973655772083
-0.023629073053598404,1759205973660840735
-0.0228987205773592,1759205973665893499
-0.02147560566663742,1759205973670809221
-0.019703425467014313,1759205973675812480
-0.01800105720758438,1759205973680805068
-0.01635776273906231,1759205973685866430
-0.014676875434815884,1759205973690782182
-0.012974509038031101,1759205973695806115
-0.011309733614325523,1759205973700832885
-0.009542923420667648,1759205973705808188
-0.00787814799696207,1759205973710829714
-0.006100597325712442,1759205973715812353
-0.004301565233618021,1759205973720838369
-0.00251327408477664,1759205973725827700
-0.0007572043687105179,1759205973730847516
0.0010042355861514807,1759205973735811154
0.002797897206619382,1759205973740904532
0.00455396668985486,1759205973745776514
0.006342257838696241,1759205973750773806
0.008194992318749428,1759205973755792966
0.009913470596075058,1759205973760790917
0.01166416984051466,1759205973765861293
0.013484681956470013,1759205973770802282
0.01530519500374794,1759205973775780175
0.01709885708987713,1759205973780775033
0.018908629193902016,1759205973785792657
0.020670069381594658,1759205973790809475
0.02233484573662281,1759205973796002583
0.024123134091496468,1759205973800799472
0.025959758087992668,1759205973805780598
0.027576202526688576,1759205973810817719
0.029192645102739334,1759205973815824417
0.03047076240181923,1759205973820777567
0.03170591965317726,1759205973825805856
0.032903485000133514,1759205973830777143
0.03332236409187317,1759205973835788870
0.033354584127664566,1759205973840843899
0.033354584127664566,1759205973845842191
0.033333104103803635,1759205973850912018
0.03333847224712372,1759205973855964752
0.03333847224712372,1759205973860800166
0.03306996077299118,1759205973865835150
0.03214627876877785,1759205973870809585
0.030696315690875053,1759205973875793010
0.029133573174476624,1759205973880845470
0.027635274454951286,1759205973885781294
0.026088645681738853,1759205973890816384
0.02457423508167267,1759205973895924805
0.023102790117263794,1759205973900991313
0.021991148591041565,1759205973905929732
0.02092784084379673,1759205973910915754
0.01986990123987198,1759205973915808229
0.019612131640315056,1759205973920867939
0.02000952884554863,1759205973925942848
0.020739881321787834,1759205973930890968
0.021915964782238007,1759205973935922277
0.023655923083424568,1759205973940801958
0.025422733277082443,1759205973945911143
0.027012325823307037,1759205973950814596
0.028607288375496864,1759205973955818769
0.030234472826123238,1759205973960817014
0.031867027282714844,1759205973965887429
0.03353717178106308,1759205973970841159
0.03512139245867729,1759205973975845420
0.03678617253899574,1759205973980793357
0.03839724510908127,1759205973985897518
