ekf_x,ekf_y,ekf_yaw,stamp
89627.82551748393,43187.80206778572,0.24269954156190043,1759205132873579416
89627.89806460546,43187.82003245162,0.23145008744856213,1759205132873667074
89627.97397255171,43187.838246761065,0.2201057038019737,1759205132890098494
89628.04703771169,43187.85464016934,0.2125224473212153,1759205132910408580
89628.11938776664,43187.87024913744,0.20499864314287516,1759205132930125605
89628.19357801774,43187.88695350625,0.1979104083841617,1759205132949845914
89628.26534346612,43187.90132157543,0.1893045725767335,1759205132970129811
89628.3441888747,43187.91210907995,0.17889917313468415,1759205132990347774
89628.41623910399,43187.92511889633,0.16792130017779447,1759205133009748136
89628.48905099234,43187.93747058338,0.15751963381814696,1759205133030031494
89628.56693579466,43187.94704879836,0.146878791828132,1759205133050326916
89628.64155460434,43187.95809498824,0.1359452011826868,1759205133069659278
89628.72168155527,43187.966800798655,0.12393091830448513,1759205133090436755
89628.79694890614,43187.976165690765,0.11090028144484515,1759205133109630915
89628.87135390313,43187.9844509863,0.09886893286280624,1759205133130191165
89628.94963440105,43187.99185194671,0.08723233229169254,1759205133149758811
89629.02395102529,43187.99834939364,0.07602462678539945,1759205133169605133
89629.1060600038,43187.99452015345,0.06339724025044342,1759205133190115322
89629.18053195984,43187.99921392303,0.049654787609441406,1759205133210157901
89629.2556778292,43188.00295096072,0.035550355922980635,1759205133229765332
89629.33689010046,43187.99692251674,0.019395532687439043,1759205133251250384
89629.41220443006,43187.998383461476,0.003646341856539989,1759205133268787914
89629.4938337962,43187.99066831772,-0.013384416523614558,1759205133290396215
89629.57195388398,43187.98975865856,-0.025988484896998846,1759205133309657198
89629.6475017022,43187.9877923539,-0.03876253735975675,1759205133330027117
89629.72766446057,43187.977863336055,-0.051947435045107,1759205133350152864
89629.80328680901,43187.9739211235,-0.06482870150314281,1759205133369595518
89629.8841005036,43187.96133288082,-0.07942524945926184,1759205133389981615
89629.95959895907,43187.955333832964,-0.09197002117455728,1759205133410004234
89630.03421075526,43187.94844784007,-0.10406729971307331,1759205133429955475
89630.11251460947,43187.933648290746,-0.11681163717628683,1759205133449971052
89630.1882013788,43187.924766499156,-0.12978892198997,1759205133469864509
89630.26783022106,43187.90856190212,-0.14463021167065804,1759205133490252429
89630.34343170657,43187.89753497685,-0.16029678046148174,1759205133509647290
89630.41920354876,43187.885291425555,-0.17558575385956668,1759205133529607254
89630.49754173677,43187.86625739234,-0.19153580641187987,1759205133550234302
89630.5716242308,43187.851903352144,-0.20415237793670765,1759205133569671855
89630.64899395492,43187.83065531412,-0.21584141931721998,1759205133590602742
89630.72247091738,43187.814507823656,-0.22915841976766174,1759205133609694348
89630.79572101981,43187.79741735897,-0.242342086071538,1759205133629812782
89630.87038297928,43187.77491147568,-0.25622901104741763,1759205133649915129
89630.94378001243,43187.75569546079,-0.2691694785835434,1759205133669631138
89631.01937018766,43187.73107589027,-0.2824923204222444,1759205133689905208
89631.0922366655,43187.7099302813,-0.29511302206885226,1759205133709864795
89631.16428539321,43187.688021420705,-0.30768231178281646,1759205133729828607
89631.2373465268,43187.66173567986,-0.32065500944461395,1759205133750088412
89631.30685698528,43187.63864628235,-0.3312352261366971,1759205133769683596
89631.37864213542,43187.60971481478,-0.34115172095001145,1759205133789940250
89631.44718994529,43187.585360449346,-0.3510154943133048,1759205133809822884
89631.51562286264,43187.56029994319,-0.3605678230418677,1759205133829616000
89631.58458075901,43187.53067023662,-0.3704276820689424,1759205133850713481
89631.65154138759,43187.504661373336,-0.37919005457120525,1759205133869673576
89631.72026901765,43187.47375759039,-0.3880987616695518,1759205133890350635
89631.78647894454,43187.44665660084,-0.39866649045309377,1759205133909666726
89631.85399717005,43187.41822885595,-0.40926918898373427,1759205133929645036
89631.92188782358,43187.38572119927,-0.4205311210501032,1759205133950444836
89631.9875829122,43187.35634282572,-0.43018399516154326,1759205133969650983
89632.0551529537,43187.3213299581,-0.43966508679848426,1759205133989892153
89632.12012590455,43187.29075983507,-0.44879268458684785,1759205134010030018
89632.18616040821,43187.25897147265,-0.45799302580933005,1759205134029591031
89632.25288067831,43187.22249225265,-0.4678125267467039,1759205134050123626
89632.31763507915,43187.189782639165,-0.4761272305147047,1759205134069558458
89632.3840779016,43187.151780024295,-0.484355941388164,1759205134090673993
89632.4482148173,43187.11804020751,-0.49129789859873746,1759205134109831908
89632.51329007887,43187.08322990429,-0.4984866779880663,1759205134130336966
89632.57913862185,43187.04396600127,-0.5063187063459147,1759205134149892353
89632.64438709534,43187.00777344336,-0.5150925751337193,1759205134169570740
89632.71136858939,43186.967695247484,-0.5253104657941572,1759205134190381462
