actuation_accel_cmd,actuation_brake_cmd,actuation_steer_cmd,stamp
1.0,0.0,-0.07229184359312057,1759205972879997508
1.0,0.0,-0.07228011637926102,1759205972880096569
1.0,0.0,-0.07158330827951431,1759205972880148023
1.0,0.0,-0.07337317615747452,1759205972880606870
1.0,0.0,-0.07690945267677307,1759205972890678040
1.0,0.0,-0.08219840377569199,1759205972900690161
1.0,0.0,-0.08064470440149307,1759205972910580359
1.0,0.0,-0.0835796445608139,1759205972920705589
1.0,0.0,-0.08422309160232544,1759205972930643803
1.0,0.0,-0.07843519002199173,1759205972940664581
1.0,0.0,-0.07537384331226349,1759205972950627462
1.0,0.0,-0.07533877342939377,1759205972960859920
1.0,0.0,-0.07112452387809753,1759205972970717853
1.0,0.0,-0.07183127105236053,1759205972980627646
1.0,0.0,-0.07160895317792892,1759205972990644609
1.0,0.0,-0.0727696642279625,1759205973000642731
1.0,0.0,-0.06725122779607773,1759205973010623646
1.0,0.0,-0.06760279089212418,1759205973020687292
1.0,0.0,-0.06431940197944641,1759205973030585887
1.0,0.0,-0.06722676008939743,1759205973040626104
1.0,0.0,-0.06671139597892761,1759205973050619138
1.0,0.0,-0.06699758768081665,1759205973060648737
1.0,0.0,-0.06185925006866455,1759205973070635882
1.0,0.0,-0.0643039271235466,1759205973080621707
1.0,0.0,-0.06569421291351318,1759205973090657060
1.0,0.0,-0.06759591400623322,1759205973100659846
1.0,0.0,-0.06656087934970856,1759205973110704163
1.0,0.0,-0.06682389229536057,1759205973120853739
1.0,0.0,-0.0666167363524437,1759205973130589659
1.0,0.0,-0.06671028584241867,1759205973140649190
1.0,0.0,-0.0628473311662674,1759205973150608773
1.0,0.0,-0.06285318732261658,1759205973160614947
1.0,0.0,-0.059758260846138,1759205973170610944
1.0,0.0,-0.05830121412873268,1759205973180608453
1.0,0.0,-0.058142971247434616,1759205973190607706
1.0,0.0,-0.05391782149672508,1759205973200624487
1.0,0.0,-0.05188513174653053,1759205973210624698
1.0,0.0,-0.052399810403585434,1759205973220666223
1.0,0.0,-0.05644543841481209,1759205973230631581
1.0,0.0,-0.05941353365778923,1759205973240653305
1.0,0.0,-0.06016172468662262,1759205973250628981
1.0,0.0,-0.06059979274868965,1759205973260653425
1.0,0.0,-0.058198232203722,1759205973270610921
1.0,0.0,-0.05377238616347313,1759205973280637563
1.0,0.0,-0.053614385426044464,1759205973290701491
1.0,0.0,-0.049133382737636566,1759205973300649451
1.0,0.0,-0.047669991850852966,1759205973310592150
1.0,0.0,-0.04842029884457588,1759205973320661878
1.0,0.0,-0.04120826721191406,1759205973330599734
1.0,0.0,-0.04330017417669296,1759205973340691433
1.0,0.0,-0.04556848481297493,1759205973350629467
1.0,0.0,-0.04536397010087967,1759205973360779148
1.0,0.0,-0.046107105910778046,1759205973370780718
1.0,0.0,-0.050730131566524506,1759205973380629692
1.0,0.0,-0.05421542748808861,1759205973390692235
1.0,0.0,-0.052431393414735794,1759205973400649160
1.0,0.0,-0.04872975870966911,1759205973410652007
1.0,0.0,-0.04876481369137764,1759205973420641799
1.0,0.0,-0.044388189911842346,1759205973430648871
1.0,0.0,-0.03600415214896202,1759205973440743214
1.0,0.0,-0.03012506291270256,1759205973450656722
1.0,0.0,-0.02780178375542164,1759205973460669079
1.0,0.0,-0.0014729553367942572,1759205973470659946
1.0,0.0,-0.003222233848646283,1759205973480629277
1.0,0.0,-0.006388173438608646,1759205973490671165
1.0,0.0,-0.010539235547184944,1759205973500607589
1.0,0.0,-0.01035348605364561,1759205973510715739
1.0,0.0,-0.013811883516609669,1759205973520788797
1.0,0.0,-0.012450842186808586,1759205973530779143
1.0,0.0,-0.016164835542440414,1759205973540624912
1.0,0.0,-0.013816251419484615,1759205973550649803
1.0,0.0,-0.01774180680513382,1759205973560667161
1.0,0.0,0.018476106226444244,1759205973570653251
1.0,0.0,-0.02094374969601631,1759205973580635707
1.0,0.0,-0.023724472150206566,1759205973590790275
1.0,0.0,0.009371144697070122,1759205973600625748
1.0,0.0,0.011353880167007446,1759205973610680009
1.0,0.0,0.012019617483019829,1759205973620678636
1.0,0.0,0.01643991284072399,1759205973630574785
1.0,0.0,0.01935039833188057,1759205973640603381
1.0,0.0,0.024171609431505203,1759205973650702749
1.0,0.0,0.024294394999742508,1759205973660632840
1.0,0.0,0.025891875848174095,1759205973670659032
1.0,0.0,0.02241322211921215,1759205973680654671
1.0,0.0,0.018770068883895874,1759205973690616223
1.0,0.0,0.015295121818780899,1759205973700656248
1.0,0.0,0.013758020475506783,1759205973710636428
1.0,0.0,0.010005209594964981,1759205973720680819
1.0,0.0,0.052233755588531494,1759205973730692226
1.0,0.0,0.04841882362961769,1759205973740683936
1.0,0.0,0.04619879275560379,1759205973750616057
1.0,0.0,0.04224570840597153,1759205973760650059
1.0,0.0,0.040712155401706696,1759205973770647285
1.0,0.0,0.036833714693784714,1759205973780644408
1.0,0.0,0.03291594982147217,1759205973790641720
1.0,0.0,0.03100316971540451,1759205973800610847
1.0,0.0,0.02770671248435974,1759205973810629999
1.0,0.0,0.02418440766632557,1759205973820624501
1.0,0.0,0.021402835845947266,1759205973830572923
1.0,0.0,0.019639424979686737,1759205973840646267
1.0,0.0,0.07040907442569733,1759205973850626541
1.0,0.0,0.07042652368545532,1759205973860642467
1.0,0.0,0.07301823794841766,1759205973870675600
1.0,0.0,0.07405941933393478,1759205973880714645
1.0,0.0,0.07737340778112411,1759205973890639017
1.0,0.0,0.08072777837514877,1759205973900669812
1.0,0.0,0.08386088162660599,1759205973910691056
1.0,0.0,0.08615591377019882,1759205973920719403
1.0,0.0,0.0860857293009758,1759205973930621784
1.0,0.0,0.0840216800570488,1759205973940683064
1.0,0.0,0.1333031803369522,1759205973950713967
1.0,0.0,0.1298997849225998,1759205973960773621
1.0,0.0,0.12747880816459656,1759205973970623563
1.0,0.0,0.12446286529302597,1759205973980624091
1.0,0.0,0.12095020711421967,1759205973990766651
1.0,0.0,0.11810024082660675,1759205974000698141
1.0,0.0,0.11709536612033844,1759205974010702749
1.0,0.0,0.11335606873035431,1759205974020718648
1.0,0.0,0.11096140742301941,1759205974030665777
1.0,0.0,0.10554835945367813,1759205974040771631
1.0,0.0,0.10346092283725739,1759205974051012431
1.0,0.0,0.09952549636363983,1759205974060668110
1.0,0.0,0.1591818928718567,1759205974070739373
1.0,0.0,0.09611129760742188,1759205974080642247
1.0,0.0,0.0922684296965599,1759205974090673636
1.0,0.0,0.1537909209728241,1759205974100618571
1.0,0.0,0.1494864523410797,1759205974110620321
1.0,0.0,0.14570379257202148,1759205974120768079
1.0,0.0,0.14168420433998108,1759205974130626388
1.0,0.0,0.13086190819740295,1759205974140618104
1.0,0.0,0.12737634778022766,1759205974150632952
1.0,0.0,0.1271038055419922,1759205974160902062
