vx,vy,stamp
1.5525790452957153,0.0,1759204892867045069
1.5879542827606201,0.0,1759204892889263267
1.5879542827606201,0.0,1759204892914787443
1.5879542827606201,0.0,1759204892947138133
1.5879542827606201,0.0,1759204892990230204
1.5879542827606201,0.0,1759204893016042553
1.5997461080551147,0.0,1759204893048896727
1.5997461080551147,0.0,1759204893091781689
1.5997461080551147,0.0,1759204893117323780
1.623329520225525,0.0,1759204893149913821
1.63512122631073,0.0,1759204893193339869
1.63512122631073,0.0,1759204893218677765
1.6665658950805664,0.0,1759204893261176511
1.6665658950805664,0.0,1759204893294491668
1.6665658950805664,0.0,1759204893319957559
1.6901494264602661,0.0,1759204893363074808
1.6901494264602661,0.0,1759204893396134384
1.7019411325454712,0.0,1759204893440421376
1.7019411325454712,0.0,1759204893463865517
1.725524663925171,0.0,1759204893496132718
1.725524663925171,0.0,1759204893540947505
1.725524663925171,0.0,1759204893564674936
1.737316370010376,0.0,1759204893597793143
1.749108076095581,0.0,1759204893641753876
1.749108076095581,0.0,1759204893665208970
1.7726916074752808,0.0,1759204893696779318
1.7726916074752808,0.0,1759204893741652186
1.7726916074752808,0.0,1759204893765510540
1.796275019645691,0.0,1759204893797836112
1.796275019645691,0.0,1759204893841775903
1.796275019645691,0.0,1759204893865787569
1.8159279823303223,0.0,1759204893898253224
1.796275019645691,0.0,1759204893942542324
1.796275019645691,0.0,1759204893966548425
1.7844833135604858,0.0,1759204893999430656
1.7726916074752808,0.0,1759204894043629952
1.7726916074752808,0.0,1759204894067629243
1.737316370010376,0.0,1759204894100040729
1.7844833135604858,0.0,1759204894144541725
1.7844833135604858,0.0,1759204894167698063
1.737316370010376,0.0,1759204894200570306
1.7137328386306763,0.0,1759204894244670413
1.7137328386306763,0.0,1759204894267949590
1.749108076095581,0.0,1759204894311113891
1.7019411325454712,0.0,1759204894345515144
1.7019411325454712,0.0,1759204894369534400
1.7019411325454712,0.0,1759204894412528072
1.7019411325454712,0.0,1759204894446667049
1.7019411325454712,0.0,1759204894469687641
1.6783576011657715,0.0,1759204894512509358
1.7019411325454712,0.0,1759204894547485508
1.6665658950805664,0.0,1759204894590467740
1.6665658950805664,0.0,1759204894615422162
1.6783576011657715,0.0,1759204894647433459
