vx,vy,stamp
0.0,0.0,1759220270019063389
0.0,0.0,1759220270036554753
0.0,0.0,1759220270080284838
0.0,0.0,1759220270104474603
0.0,0.0,1759220270136564127
0.0,0.0,1759220270180392251
0.0,0.0,1759220270203566758
0.0,0.0,1759220270235154293
0.0,0.0,1759220270261234764
0.0,0.0,1759220270303639054
0.0,0.0,1759220270336835945
0.0,0.0,1759220270380406293
0.0,0.0,1759220270404433192
0.0,0.0,1759220270436396004
0.0,0.0,1759220270480450510
0.0,0.0,1759220270504399899
0.0,0.0,1759220270535411857
0.0,0.0,1759220270561450893
0.0,0.0,1759220270603418076
0.0,0.0,1759220270636401083
0.0,0.0,1759220270680310909
0.0,0.0,1759220270704029674
0.0,0.0,1759220270737088377
0.0,0.0,1759220270779855085
0.0,0.0,1759220270803449060
0.0,0.0,1759220270836639304
0.0,0.0,1759220270861232972
0.0,0.0,1759220270903342662
0.0,0.0,1759220270936243850
0.0,0.0,1759220270979144080
0.0,0.0,1759220271003283544
0.0,0.0,1759220271035214911
0.0,0.0,1759220271060760155
0.0,0.0,1759220271103783792
0.0,0.0,1759220271136481682
0.0,0.0,1759220271179633956
0.0,0.0,1759220271203604474
0.0,0.0,1759220271236002213
0.0,0.0,1759220271280632795
0.0,0.0,1759220271303986371
0.0,0.0,1759220271335495777
0.0,0.0,1759220271379530041
0.0,0.0,1759220271403186795
0.0,0.0,1759220271434960859
0.0,0.0,1759220271459780949
0.0,0.0,1759220271503056685
0.0,0.0,1759220271536139235
0.0,0.0,1759220271579652289
0.0,0.0,1759220271603188345
0.0,0.0,1759220271636386570
0.0,0.0,1759220271661916258
0.0,0.0,1759220271703996203
0.0,0.0,1759220271736362976
0.0,0.0,1759220271779094714
0.0,0.0,1759220271803789173
0.0,0.0,1759220271836227665
0.0,0.0,1759220271861211811
0.0,0.0,1759220271904273901
0.0,0.0,1759220271937107676
0.0,0.0,1759220271980264699
0.0,0.0,1759220272003930059
0.0,0.0,1759220272035787641
0.0,0.0,1759220272061175907
0.0,0.0,1759220272103294341
0.0,0.0,1759220272136434951
0.0,0.0,1759220272180336263
0.0,0.0,1759220272204184852
0.0,0.0,1759220272236255394
0.0,0.0,1759220272280088889
0.0,0.0,1759220272304379724
0.0,0.0,1759220272336109993
0.0,0.0,1759220272379306108
0.0,0.0,1759220272403673824
0.0,0.0,1759220272435345916
0.0,0.0,1759220272461686449
0.0,0.0,1759220272503370355
0.0,0.0,1759220272535933882
0.0,0.0,1759220272580131661
0.0,0.0,1759220272603161903
0.0,0.0,1759220272635545213
0.0,0.0,1759220272660554196
0.0,0.0,1759220272703336783
0.0,0.0,1759220272735346684
