steer,stamp
1.611073275853414e-05,1759220275422651093
5.370243798097363e-06,1759220275427439873
1.0740487596194725e-05,1759220275432514049
1.0740487596194725e-05,1759220275437314618
0.0,1759220275442433615
5.370243798097363e-06,1759220275447299473
1.0740487596194725e-05,1759220275452285484
1.0740487596194725e-05,1759220275457221466
5.370243798097363e-06,1759220275462282847
1.0740487596194725e-05,1759220275467292972
5.370243798097363e-06,1759220275472252687
1.0740487596194725e-05,1759220275477342263
1.611073275853414e-05,1759220275482309928
1.0740487596194725e-05,1759220275487342598
1.0740487596194725e-05,1759220275492341256
1.0740487596194725e-05,1759220275497522665
1.0740487596194725e-05,1759220275502570255
1.0740487596194725e-05,1759220275507151613
1.0740487596194725e-05,1759220275512142371
5.370243798097363e-06,1759220275517261610
1.0740487596194725e-05,1759220275522238102
5.370243798097363e-06,1759220275527215854
5.370243798097363e-06,1759220275532220205
5.370243798097363e-06,1759220275537157297
5.370243798097363e-06,1759220275542147430
5.370243798097363e-06,1759220275547147098
1.0740487596194725e-05,1759220275552292058
1.0740487596194725e-05,1759220275557311837
1.0740487596194725e-05,1759220275562250809
0.0,1759220275567314302
5.370243798097363e-06,1759220275572318110
1.0740487596194725e-05,1759220275577175225
5.370243798097363e-06,1759220275582141300
1.0740487596194725e-05,1759220275587244632
5.370243798097363e-06,1759220275592365795
5.370243798097363e-06,1759220275597283149
5.370243798097363e-06,1759220275602205493
1.0740487596194725e-05,1759220275607162900
1.0740487596194725e-05,1759220275612268028
1.0740487596194725e-05,1759220275617305930
1.0740487596194725e-05,1759220275622305625
1.0740487596194725e-05,1759220275627236445
5.370243798097363e-06,1759220275632255639
1.0740487596194725e-05,1759220275637337731
1.0740487596194725e-05,1759220275642393677
1.0740487596194725e-05,1759220275647295636
5.370243798097363e-06,1759220275652231381
5.370243798097363e-06,1759220275657179546
1.0740487596194725e-05,1759220275662276684
5.370243798097363e-06,1759220275667418494
0.0,1759220275672370259
5.370243798097363e-06,1759220275677126437
5.370243798097363e-06,1759220275682174139
5.370243798097363e-06,1759220275687261949
5.370243798097363e-06,1759220275692346248
1.0740487596194725e-05,1759220275697321217
5.370243798097363e-06,1759220275702205338
1.611073275853414e-05,1759220275707150487
1.0740487596194725e-05,1759220275712127146
1.0740487596194725e-05,1759220275717301150
1.0740487596194725e-05,1759220275722269343
1.0740487596194725e-05,1759220275727394853
1.0740487596194725e-05,1759220275732320165
1.0740487596194725e-05,1759220275737205336
5.370243798097363e-06,1759220275742228190
5.370243798097363e-06,1759220275747158276
5.370243798097363e-06,1759220275752206848
5.370243798097363e-06,1759220275757548406
5.370243798097363e-06,1759220275762163801
5.370243798097363e-06,1759220275767250979
1.0740487596194725e-05,1759220275772348492
1.611073275853414e-05,1759220275777335328
1.0740487596194725e-05,1759220275782390362
1.0740487596194725e-05,1759220275787341748
1.0740487596194725e-05,1759220275792368610
1.0740487596194725e-05,1759220275797264033
