loc_acc_x,loc_acc_y,stamp
1.036848077662418e-05,0.0,1759203754819648678
5.581736371386984e-06,0.0,1759203754819716375
8.762725508137333e-06,0.0,1759203754837890631
1.3189300314151008e-06,0.0,1759203754855819742
2.0297257344713944e-05,0.0,1759203754878352192
7.82537653728849e-06,0.0,1759203754896411935
-6.209976867519556e-06,0.0,1759203754916651478
1.2473404331568844e-06,0.0,1759203754936956435
-6.15615085415191e-06,0.0,1759203754956226806
-7.114944145570737e-06,0.0,1759203754975563537
-1.230262584075055e-05,0.0,1759203754997070202
-6.524201182556915e-06,0.0,1759203755016788811
-7.534432566397042e-06,0.0,1759203755037765421
-4.981334068374392e-06,0.0,1759203755055557263
-3.786323072993113e-06,0.0,1759203755077038797
-6.391947094076064e-06,0.0,1759203755096572006
-4.490749595676983e-06,0.0,1759203755115703560
-5.286665624138057e-06,0.0,1759203755137698875
-3.3733477596125832e-06,0.0,1759203755155902454
-1.3677476298756814e-06,0.0,1759203755176670085
-6.45928010853757e-06,0.0,1759203755196761582
-1.0419233416428455e-06,0.0,1759203755216358591
-5.755344301516067e-06,0.0,1759203755236815922
-1.9851556940309104e-07,0.0,1759203755256499477
2.0246649857764607e-07,0.0,1759203755275650021
-1.9568060398585217e-06,0.0,1759203755297607809
-5.174802668031142e-07,0.0,1759203755315795108
-1.6069306548143388e-06,0.0,1759203755337941912
-1.0483466593049163e-07,0.0,1759203755355581346
-5.737981435296092e-06,0.0,1759203755378398667
-1.4163278604734513e-06,0.0,1759203755395418040
2.8872227087656228e-06,0.0,1759203755416322443
-2.5299518562608846e-06,0.0,1759203755438253586
3.358158812980224e-06,0.0,1759203755456817402
3.4312617291153537e-06,0.0,1759203755476164762
6.057661747409553e-07,0.0,1759203755497393765
2.77200773461862e-06,0.0,1759203755515642106
1.0496289099044321e-05,0.0,1759203755538612928
3.840920501944086e-06,0.0,1759203755555947981
1.3564000583542633e-06,0.0,1759203755577521990
-3.86269046243061e-06,0.0,1759203755596574886
-1.2496354301587093e-07,0.0,1759203755616630865
-4.161976013074632e-06,0.0,1759203755637291246
5.204468425963972e-07,0.0,1759203755656272900
9.619581957763128e-07,0.0,1759203755676075424
-4.865226504713011e-06,0.0,1759203755697196096
1.0570938035272815e-06,0.0,1759203755716834517
-2.799060348210096e-07,0.0,1759203755737969663
1.3908027807121516e-06,0.0,1759203755755361501
-4.083972714533071e-06,0.0,1759203755777608448
9.73430085126424e-07,0.0,1759203755795561645
1.852072908025567e-06,0.0,1759203755816189061
6.097268687043942e-07,0.0,1759203755837624920
1.703530423344897e-06,0.0,1759203755855830697
-5.2102793801844246e-06,0.0,1759203755877563157
-9.573956158022912e-07,0.0,1759203755895972988
3.7603734527261167e-06,0.0,1759203755916272372
-1.4297010746151195e-06,0.0,1759203755937000567
3.7297460412367115e-06,0.0,1759203755956689434
-1.0276729066235155e-05,0.0,1759203755977414105
3.949062846954265e-06,0.0,1759203755996666967
4.538882291626092e-06,0.0,1759203756015655033
3.1487354152276522e-06,0.0,1759203756037959501
3.92351085910285e-06,0.0,1759203756055894282
-1.398992002151273e-06,0.0,1759203756077623619
1.6238967973120107e-06,0.0,1759203756095824841
4.922582000926097e-06,0.0,1759203756116665276
6.170909888661106e-07,0.0,1759203756136628879
4.330903916300802e-06,0.0,1759203756156548952
-1.1910996711837653e-05,0.0,1759203756177449734
4.559353641066953e-06,0.0,1759203756196333684
5.914365396707075e-06,0.0,1759203756215585164
3.635609948601712e-06,0.0,1759203756237363953
5.236500477913478e-06,0.0,1759203756255561295
-7.554655898543693e-07,0.0,1759203756277783685
4.276321305858443e-06,0.0,1759203756295554883
5.8263042825069735e-06,0.0,1759203756316401832
1.3489503481599554e-06,0.0,1759203756336972718
5.190061071367147e-06,0.0,1759203756356660062
-6.705439750791216e-06,0.0,1759203756377345118
1.9635403730571075e-06,0.0,1759203756395482566
5.9394857888835995e-06,0.0,1759203756417092725
1.0380715388358946e-06,0.0,1759203756437133009
5.40462886121787e-06,0.0,1759203756456277096
7.416594290005253e-07,0.0,1759203756477963461
4.295080411349519e-06,0.0,1759203756495978574
4.646380859232819e-06,0.0,1759203756516035015
3.402346336385371e-06,0.0,1759203756537870645
3.9526905681435475e-06,0.0,1759203756555934919
4.6190003449269926e-06,0.0,1759203756576707810
5.037335450325455e-08,0.0,1759203756597711133
4.095953123282693e-06,0.0,1759203756616265559
-1.1731185562718262e-07,0.0,1759203756637459830
4.067432033968383e-06,0.0,1759203756656508762
-1.0000467123250609e-05,0.0,1759203756677126023
3.924835361528393e-06,0.0,1759203756696318246
4.487881821646743e-06,0.0,1759203756715545203
3.1096598127324188e-06,0.0,1759203756737922239
3.898026793533635e-06,0.0,1759203756755453782
4.736922763412064e-06,0.0,1759203756776908330
1.210795441195334e-06,0.0,1759203756796754428
3.854767831487141e-06,0.0,1759203756816577560
6.832516247292189e-07,0.0,1759203756837139336
3.5752200314422008e-06,0.0,1759203756856245277
3.4357250064321527e-06,0.0,1759203756875502069
1.8818339703132704e-06,0.0,1759203756898236943
2.928503276668069e-06,0.0,1759203756915580033
1.6171180364201243e-06,0.0,1759203756937451755
2.660305936158099e-06,0.0,1759203756955398234
-8.431748680229895e-07,0.0,1759203756978154694
2.250601882057303e-06,0.0,1759203756995924497
3.2323048600269926e-06,0.0,1759203757016642355
1.065042664584342e-06,0.0,1759203757036709873
2.642405515511509e-06,0.0,1759203757056738913
2.750911726576264e-06,0.0,1759203757076318703
1.1718949309907414e-06,0.0,1759203757097911791
2.2051341424091676e-06,0.0,1759203757115545338
-1.1981489891446713e-06,0.0,1759203757137193421
2.392267509853702e-06,0.0,1759203757156903424
2.647487465387188e-06,0.0,1759203757176814421
1.0141844611826843e-06,0.0,1759203757196676833
1.5023560690971623e-06,0.0,1759203757216455601
7.451090347449367e-07,0.0,1759203757237675668
1.3307119418991494e-06,0.0,1759203757256045351
1.976792512592974e-06,0.0,1759203757277370497
-7.660567010433879e-07,0.0,1759203757296985010
1.6007990998312614e-06,0.0,1759203757316470624
-8.207497391021436e-07,0.0,1759203757337234160
1.683326485610662e-06,0.0,1759203757356483592
1.6933201051136828e-06,0.0,1759203757375801721
5.090020836268566e-07,0.0,1759203757398026168
1.063475418082959e-06,0.0,1759203757415761384
4.200517339888984e-07,0.0,1759203757438332003
1.0225712235716876e-06,0.0,1759203757455722020
1.6429643311886373e-06,0.0,1759203757476991840
-8.781793218549122e-07,0.0,1759203757496702510
1.2971070085838107e-06,0.0,1759203757516502847
-9.375436490812135e-07,0.0,1759203757537322362
1.4001214394590132e-06,0.0,1759203757556558118
1.4265237622343129e-06,0.0,1759203757575780917
-1.6734620282891826e-07,0.0,1759203757597747202
1.1377224273564896e-06,0.0,1759203757615547882
-7.755039533119566e-08,0.0,1759203757637823722
1.2239570852988302e-06,0.0,1759203757656149819
1.631744877174877e-06,0.0,1759203757677129039
-1.3778910359196804e-06,0.0,1759203757696911225
1.3652016391147956e-06,0.0,1759203757716258537
-1.370521857719904e-06,0.0,1759203757736704477
1.3613533348382803e-06,0.0,1759203757756919259
1.556374139006985e-06,0.0,1759203757776040909
-2.351118673576613e-06,0.0,1759203757796693490
1.292725797782638e-06,0.0,1759203757816754286
1.9738998005276832e-05,0.0,1759203757837041731
2.208786680305201e-06,0.0,1759203757856544102
-1.23272389933791e-07,0.0,1759203757877159804
9.463103585595534e-06,0.0,1759203757896496536
4.631712517782503e-06,0.0,1759203757916024512
8.103868675559422e-06,0.0,1759203757937911317
2.8708840611377187e-06,0.0,1759203757956008910
-2.7057003222652394e-06,0.0,1759203757976707320
-6.5800831601409164e-06,0.0,1759203757997384102
-3.136171396053281e-06,0.0,1759203758016870862
-6.354593940205347e-06,0.0,1759203758037290110
-2.0904198434297506e-06,0.0,1759203758056453918
-1.6112628629623047e-06,0.0,1759203758075503793
-3.0250860952716597e-06,0.0,1759203758097375019
-1.819250330563155e-06,0.0,1759203758115368822
-2.461741675866567e-06,0.0,1759203758138156890
-1.2411191974589332e-06,0.0,1759203758155415178
2.585975863445521e-05,0.0,1759203758177786049
1.0922602450938228e-05,0.0,1759203758195472305
-4.4115584900673936e-06,0.0,1759203758216545587
1.2178891917268152e-05,0.0,1759203758236990532
-5.752739605121644e-06,0.0,1759203758256565965
-6.421069602527243e-06,0.0,1759203758275851209
1.5460438150906058e-06,0.0,1759203758297674863
-2.7354538296753068e-06,0.0,1759203758315849873
1.5389569786336666e-06,0.0,1759203758337374833
-5.664940407802227e-06,0.0,1759203758355617590
-1.3183178491723411e-05,0.0,1759203758377814782
-9.84921976808134e-06,0.0,1759203758395909584
-6.336782835668802e-06,0.0,1759203758416727689
-7.476146093955719e-06,0.0,1759203758436864472
-5.005488743685878e-06,0.0,1759203758456588533
-1.4237885098353787e-05,0.0,1759203758476649331
-6.61901355543467e-06,0.0,1759203758495961634
-2.3616399102104615e-06,0.0,1759203758516935439
-6.244870488063171e-06,0.0,1759203758537394194
-1.3023758997871693e-06,0.0,1759203758556471120
-6.705983241163037e-06,0.0,1759203758577873511
-1.3201149197268473e-06,0.0,1759203758595412670
-2.1728830195140206e-07,0.0,1759203758615801209
-1.2097363800537903e-06,0.0,1759203758637670303
5.170968100807978e-08,0.0,1759203758655630310
1.3690365552730035e-06,0.0,1759203758677139029
-3.0529070760293995e-06,0.0,1759203758696918323
1.0900563900245423e-06,0.0,1759203758716782174
-2.954831627973917e-06,0.0,1759203758737197077
1.4666209409465193e-06,0.0,1759203758756476668
1.6263773649020393e-06,0.0,1759203758775748106
-3.056723287897717e-07,0.0,1759203758797696548
7.415320710048611e-07,0.0,1759203758815591946
-2.52081464540936e-07,0.0,1759203758838256793
8.762703472933077e-07,0.0,1759203758855704413
2.029949462431873e-06,0.0,1759203758876886318
-2.2228775419157986e-06,0.0,1759203758896627314
1.637653489363407e-06,0.0,1759203758916216831
-2.174764868743789e-06,0.0,1759203758936825787
1.8029834543074317e-06,0.0,1759203758956563956
1.911727405871237e-06,0.0,1759203758975608915
6.027820028177007e-07,0.0,1759203758998140898
1.7191204582820189e-06,0.0,1759203759015837158
5.535631320666765e-07,0.0,1759203759037792502
1.706315606508792e-06,0.0,1759203759055445805
2.0000965913560225e-06,0.0,1759203759076982456
-7.225488098601037e-07,0.0,1759203759097003892
1.6256349895857893e-06,0.0,1759203759116980801
-8.927146462799411e-07,0.0,1759203759137010842
1.6328795658032438e-06,0.0,1759203759156351636
1.7595798268149092e-06,0.0,1759203759175825348
2.331982187857498e-05,0.0,1759203759197098066
9.199517359997526e-07,0.0,1759203759216244984
