gnss_x,gnss_y,gnss_z,stamp
89671.9771,43129.943900000006,7.533587653922979,1759203754819621028
89671.9771,43129.943900000006,7.533587653922979,1759203754825144612
89671.9771,43129.943900000006,7.533587653922979,1759203754873553332
89671.9771,43129.943900000006,7.533587653922979,1759203754930804441
89671.9681,43129.944,7.52958723012528,1759203754975667250
89671.9681,43129.944,7.52958723012528,1759203755030704446
89671.9681,43129.944,7.530587230125278,1759203755076695526
89671.9681,43129.944,7.530587230125278,1759203755125034456
89671.9681,43129.944,7.531587230125275,1759203755181590667
89671.9681,43129.944,7.531587230125275,1759203755230745418
89671.9681,43129.944,7.531587230125275,1759203755277861123
89671.9681,43129.944,7.531587230125275,1759203755331840229
89671.9681,43129.944,7.531587230125275,1759203755372935022
89671.9682,43129.9551,7.5315866225828145,1759203755425555433
89671.9682,43129.9551,7.5315866225828145,1759203755474846394
89671.9773,43129.955,7.53158704638043,1759203755522144498
89671.9681,43129.944,7.533587230125278,1759203755575679404
89671.9681,43129.944,7.533587230125278,1759203755630552394
89671.9681,43129.944,7.533587230125278,1759203755676538634
89671.9681,43129.944,7.533587230125278,1759203755721890227
89671.9681,43129.944,7.53558723012528,1759203755772852058
89671.9681,43129.944,7.53558723012528,1759203755822373745
89671.9682,43129.9551,7.535586622582819,1759203755873577918
89671.9682,43129.9551,7.535586622582819,1759203755922119313
89671.9681,43129.944,7.53558723012528,1759203755972929750
89671.9681,43129.944,7.534587230125275,1759203756022137097
89671.9681,43129.944,7.534587230125275,1759203756072636681
89671.9681,43129.944,7.534587230125275,1759203756122969408
89671.9682,43129.9551,7.530586622582817,1759203756173068062
89671.9682,43129.9551,7.5315866225828145,1759203756222671984
89671.9682,43129.9551,7.5315866225828145,1759203756272737353
89671.9682,43129.9551,7.5315866225828145,1759203756324204934
89671.9681,43129.944,7.52958723012528,1759203756372709214
89671.9681,43129.944,7.528587230125275,1759203756424734353
89671.9681,43129.944,7.528587230125275,1759203756473641021
89671.9681,43129.944,7.528587230125275,1759203756524122518
89671.9682,43129.9551,7.530586622582817,1759203756575988835
89671.9682,43129.9551,7.530586622582817,1759203756624039986
