gnss_x,gnss_y,gnss_z,stamp
89673.36666137459,43130.96586672757,7.713588445393405,1759219277779053123
89673.36666137459,43130.96586672757,7.713588445393405,1759219277825591787
89673.36666137459,43130.96586672757,7.712588445393408,1759219277877193583
89673.36666137459,43130.96586672757,7.712588445393408,1759219277925617544
89673.36666137459,43130.96586672757,7.7165884453934055,1759219277978517946
89673.36666137459,43130.96586672757,7.715588445393408,1759219278025573165
89673.36666137459,43130.96586672757,7.715588445393408,1759219278076651449
89673.36666137459,43130.96586672757,7.715588445393408,1759219278125785111
89673.36666137459,43130.96586672757,7.712588445393408,1759219278181787457
89673.36666137459,43130.96586672757,7.712588445393408,1759219278225347781
89673.36666137459,43130.96586672757,7.713588445393405,1759219278277864705
89673.36666137459,43130.96586672757,7.713588445393405,1759219278325648277
89673.36666137459,43130.96586672757,7.70858844539341,1759219278380829001
89673.36666137459,43130.96586672757,7.70858844539341,1759219278425751308
89673.36666137459,43130.96586672757,7.70858844539341,1759219278477178038
89673.36666137459,43130.96586672757,7.70858844539341,1759219278525767192
89673.36666137459,43130.96586672757,7.707588445393405,1759219278578490914
89673.36666137459,43130.96586672757,7.707588445393405,1759219278629862337
89673.36666137459,43130.96586672757,7.707588445393405,1759219278676606546
89673.36666137459,43130.96586672757,7.707588445393405,1759219278725842543
89673.36666137459,43130.96586672757,7.71158844539341,1759219278786144079
89673.36666137459,43130.96586672757,7.71158844539341,1759219278826076535
89673.36666137459,43130.96586672757,7.71158844539341,1759219278876823396
89673.36666137459,43130.96586672757,7.71158844539341,1759219278926089425
89673.36666137459,43130.96586672757,7.710588445393405,1759219278975752924
89673.36666137459,43130.96586672757,7.710588445393405,1759219279026042583
89673.36666137459,43130.96586672757,7.710588445393405,1759219279078060013
89673.36666137459,43130.96586672757,7.710588445393405,1759219279126043255
89673.36666137459,43130.96586672757,7.704588445393405,1759219279175992314
89673.36666137459,43130.96586672757,7.703588445393407,1759219279226231727
89673.36666137459,43130.96586672757,7.703588445393407,1759219279276945197
89673.35756137459,43130.96596672758,7.703588021604091,1759219279329365314
89673.36666137459,43130.96586672757,7.70258844539341,1759219279377117733
89673.36666137459,43130.96586672757,7.70258844539341,1759219279425733816
89673.36666137459,43130.96586672757,7.70258844539341,1759219279478075099
89673.36666137459,43130.96586672757,7.701588445393405,1759219279525948340
89673.36666137459,43130.96586672757,7.713588445393405,1759219279575761235
89673.36666137459,43130.96586672757,7.713588445393405,1759219279625594020
