ekf_x,ekf_y,ekf_yaw,stamp
89673.3704462284,43130.96726355856,-0.4279042841798083,1759219277777486039
89673.37044622557,43130.96726355985,-0.42790428417980775,1759219277777561587
89673.37040271076,43130.9672827435,-0.4279487800032739,1759219277795799308
89673.3704027017,43130.96728274764,-0.4279487800032686,1759219277813272060
89673.37036001318,43130.967301559744,-0.4279932644200483,1759219277835997089
89673.37036000525,43130.96730156335,-0.4279932644200441,1759219277853628864
89673.37036000403,43130.96730156391,-0.4279932644200427,1759219277874172636
89673.37031786292,43130.96732013156,-0.42803773175245924,1759219277894328979
89673.37031785933,43130.9673201332,-0.4280377317524478,1759219277914195863
89673.37027656383,43130.96733832021,-0.42808218773463824,1759219277934354388
89673.37027656219,43130.96733832095,-0.4280821877346165,1759219277954058124
89673.37027655978,43130.96733832204,-0.42808218773461615,1759219277973151851
89673.37023585947,43130.967356242545,-0.42812662447224537,1759219277995569538
89673.37023585121,43130.96735624632,-0.42812662447224065,1759219278013514190
89673.37019592771,43130.967373817315,-0.42817104995673044,1759219278035940951
89673.37019592036,43130.96737382066,-0.4281710499567268,1759219278053423323
89673.3701959186,43130.96737382147,-0.4281710499567258,1759219278073579443
89673.37015651296,43130.967391161015,-0.4282154588935593,1759219278096010737
89673.3701565115,43130.96739116168,-0.4282154588935412,1759219278114460814
89673.37011796034,43130.96740811599,-0.42825985615892853,1759219278134763772
89673.37011795712,43130.96740811746,-0.4282598561589162,1759219278153933771
89673.37011795481,43130.967408118515,-0.42825985615891593,1759219278173210081
89673.37007984889,43130.96742487429,-0.42830423473732354,1759219278194707921
89673.37007984791,43130.96742487473,-0.42830423473730045,1759219278214461154
89673.37004249707,43130.9674412904,-0.4283486020936856,1759219278234208884
89673.37004249607,43130.967441290864,-0.4283486020936613,1759219278254277903
89673.37004249448,43130.96744129159,-0.4283486020936606,1759219278273445348
89673.37000563121,43130.96745748918,-0.42839294784825177,1759219278295058327
89673.37000562632,43130.96745749142,-0.42839294784824405,1759219278313449207
89673.36996949762,43130.967473358025,-0.4284372820484762,1759219278335300102
89673.36996949249,43130.96747336037,-0.42843728204846737,1759219278353387988
89673.36996949215,43130.96747336051,-0.4284372820484647,1759219278374173940
89673.36993386863,43130.9674890008,-0.42848159888422704,1759219278394253703
89673.36993386774,43130.9674890012,-0.428481598884207,1759219278413962698
89673.36989895163,43130.96750432268,-0.42852590350529274,1759219278434885810
89673.36989895068,43130.96750432312,-0.4285259035052706,1759219278454761694
89673.36989894921,43130.96750432379,-0.42852590350526987,1759219278473472602
89673.36986448705,43130.96751944212,-0.4285701874541085,1759219278495567125
89673.36986448249,43130.9675194442,-0.4285701874541013,1759219278513203365
89673.36983070562,43130.96753425363,-0.4286144598996221,1759219278535541333
89673.36983070083,43130.96753425582,-0.428614459899614,1759219278553661769
89673.36983070053,43130.967534255964,-0.42861445989961144,1759219278574622828
89673.36979739532,43130.96754885394,-0.42865871541164996,1759219278594581698
89673.36979739451,43130.967548854314,-0.42865871541163136,1759219278613976658
89673.36976474922,43130.967563154736,-0.4287029587910691,1759219278634871353
89673.36976474835,43130.967563155136,-0.42870295879104847,1759219278654271187
89673.36976474627,43130.96756315609,-0.42870295879104797,1759219278673233059
89673.36973249722,43130.96757727938,-0.42874718214912544,1759219278695128241
89673.36973249252,43130.967577281524,-0.4287471821491188,1759219278713090527
89673.3697008766,43130.96759111928,-0.4287913942224417,1759219278736131706
89673.36970087282,43130.967591121014,-0.4287913942224365,1759219278753546106
89673.36970087256,43130.96759112113,-0.4287913942224348,1759219278774915168
89673.36966971715,43130.96760475219,-0.4288355901999905,1759219278794389807
89673.36966971635,43130.96760475256,-0.4288355901999737,1759219278814320884
89673.36963917935,43130.96761810464,-0.42887977442594893,1759219278834679233
89673.36963917852,43130.967618105016,-0.4288797744259299,1759219278854182444
89673.36963917658,43130.967618105904,-0.42887977442592945,1759219278873477167
89673.36960900918,43130.96763129267,-0.42892393929565126,1759219278895121375
89673.36960900291,43130.967631295534,-0.4289239392956476,1759219278913109946
89673.3695794085,43130.96764422388,-0.4289680929072284,1759219278935137465
89673.36957940304,43130.96764422638,-0.42896809290722565,1759219278953107134
89673.36957940219,43130.967644226774,-0.42896809290722476,1759219278973951769
89673.36955018748,43130.96765698502,-0.42901223135166366,1759219278994429340
89673.36955018499,43130.96765698616,-0.42901223135165606,1759219279013996628
89673.36952155217,43130.96766948174,-0.4290563585740912,1759219279034438205
89673.36952154955,43130.96766948293,-0.42905635857408264,1759219279054073234
89673.36952154787,43130.96766948371,-0.4290563585740823,1759219279073467958
89673.3694933173,43130.96768179872,-0.4291004705497966,1759219279094596419
89673.36949331657,43130.967681799055,-0.42910047054978095,1759219279114299923
89673.36946565169,43130.96769385862,-0.42914457138956896,1759219279135358785
89673.36946564689,43130.96769386082,-0.4291445713895666,1759219279153187281
89673.36946564574,43130.96769386135,-0.429144571389566,1759219279173616554
89673.36943833737,43130.967705761104,-0.42918865589138966,1759219279195034009
89673.36943833377,43130.967705762756,-0.42918865589138405,1759219279213503476
89673.36941156848,43130.967717417254,-0.4292327290105305,1759219279235550006
89673.36941156471,43130.96771741898,-0.4292327290105243,1759219279253488632
89673.36941156446,43130.96771741909,-0.42923272901052234,1759219279274459251
89673.36938517347,43130.96772890548,-0.42927678647440964,1759219279294820355
89673.3693851728,43130.96772890579,-0.42927678647439504,1759219279314310018
89673.36923400326,43130.96779642897,-0.4293393952584784,1759219279334560223
89673.36923399952,43130.96779643069,-0.42933939525839154,1759219279354115213
89673.36923399367,43130.967796433375,-0.4293393952583886,1759219279373503428
89673.36921053226,43130.96780659216,-0.429383404298492,1759219279395801609
89673.36921052868,43130.9678065938,-0.42938340429848637,1759219279413206358
89673.36918753317,43130.967816542085,-0.429427397670077,1759219279435112206
89673.36918752987,43130.9678165436,-0.42942739767007154,1759219279453872287
89673.36918752966,43130.96781654369,-0.42942739767006993,1759219279474420745
89673.36916485502,43130.967826347834,-0.42947137558661075,1759219279494679953
89673.36916485443,43130.9678263481,-0.42947137558659826,1759219279514447320
89673.36914262868,43130.967835949385,-0.42951534173394684,1759219279534366986
89673.3691426281,43130.96783594966,-0.4295153417339332,1759219279554237757
89673.36914262717,43130.96783595008,-0.42951534173393274,1759219279573164745
89673.3691206896,43130.96784542205,-0.42955929080273086,1759219279595396763
89673.36912068672,43130.967845423365,-0.4295592908027265,1759219279613347890
89673.36909918387,43130.96785469885,-0.4296032285724302,1759219279635442061
89673.36909918083,43130.96785470025,-0.42960322857242517,1759219279653468348
89673.36909918064,43130.967854700335,-0.4296032285724235,1759219279674018807
89673.36907797697,43130.96786384134,-0.4296471516204861,1759219279694180545
89673.36907797644,43130.967863841586,-0.4296471516204747,1759219279714141892
89673.3690571918,43130.96787279316,-0.42969106297682613,1759219279735165853
