vx,vy,stamp
0.0,0.0,1759203898658821171
0.0,0.0,1759203898658924194
0.0,0.0,1759203898658993625
0.0,0.0,1759203898659035499
0.0,0.0,1759203898670408724
0.0,0.0,1759203898683826065
0.0,0.0,1759203898696721073
0.0,0.0,1759203898709992102
0.0,0.0,1759203898724364374
0.0,0.0,1759203898738407475
0.0,0.0,1759203898751304631
0.0,0.0,1759203898764852560
0.0,0.0,1759203898778035521
0.0,0.0,1759203898791352371
0.0,0.0,1759203898804478566
0.0,0.0,1759203898817733345
0.0,0.0,1759203898831574886
0.0,0.0,1759203898845814894
0.0,0.0,1759203898858273575
0.0,0.0,1759203898872216506
0.0,0.0,1759203898885564687
0.0,0.0,1759203898898864547
0.0,0.0,1759203898912331537
0.0,0.0,1759203898926765635
0.0,0.0,1759203898940097793
0.0,0.0,1759203898953337124
0.0,0.0,1759203898966453300
0.0,0.0,1759203898979888903
0.0,0.0,1759203898993058803
0.0,0.0,1759203899006047264
0.0,0.0,1759203899019939397
0.0,0.0,1759203899034203230
0.0,0.0,1759203899047352757
0.0,0.0,1759203899060860091
0.0,0.0,1759203899074106972
0.0,0.0,1759203899087121026
0.0,0.0,1759203899100694814
0.0,0.0,1759203899113944644
0.0,0.0,1759203899128604853
0.0,0.0,1759203899142065291
0.0,0.0,1759203899155326521
0.0,0.0,1759203899168537896
0.0,0.0,1759203899181708655
0.0,0.0,1759203899194986769
0.0,0.0,1759203899208201374
0.0,0.0,1759203899222762324
0.0,0.0,1759203899234971474
0.0,0.0,1759203899249243808
0.0,0.0,1759203899262594224
0.0,0.0,1759203899275988667
0.0,0.0,1759203899288494862
0.0,0.0,1759203899302273189
0.0,0.0,1759203899315927484
0.0,0.0,1759203899330683531
0.0,0.0,1759203899344075030
0.0,0.0,1759203899357223258
0.0,0.0,1759203899370473983
0.0,0.0,1759203899383758571
0.0,0.0,1759203899397005404
0.0,0.0,1759203899410288223
0.0,0.0,1759203899424833149
0.0,0.0,1759203899438334253
0.0,0.0,1759203899451532177
0.0,0.0,1759203899464788200
0.0,0.0,1759203899478017910
0.0,0.0,1759203899491257393
0.0,0.0,1759203899504631218
0.0,0.0,1759203899517825377
0.0,0.0,1759203899532364697
0.0,0.0,1759203899545806484
0.0,0.0,1759203899559101917
0.0,0.0,1759203899572574592
0.0,0.0,1759203899585726200
0.0,0.0,1759203899598865875
0.0,0.0,1759203899612198438
0.0,0.0,1759203899626709903
0.0,0.0,1759203899639680654
0.0,0.0,1759203899653536504
0.0,0.0,1759203899666665473
0.0,0.0,1759203899679813023
0.0,0.0,1759203899693088697
0.0,0.0,1759203899706608762
0.0,0.0,1759203899719630362
0.0,0.0,1759203899734207332
0.0,0.0,1759203899746856932
0.0,0.0,1759203899760856730
0.0,0.0,1759203899774232968
0.0,0.0,1759203899787510009
0.0,0.0,1759203899801088015
0.0,0.0,1759203899813874200
0.0,0.0,1759203899827712463
0.0,0.0,1759203899842278208
0.0,0.0,1759203899855706205
0.0,0.0,1759203899868737764
0.0,0.0,1759203899882008198
0.0,0.0,1759203899895341444
0.0,0.0,1759203899908452497
0.0,0.0,1759203899923125495
0.0,0.0,1759203899936603604
0.0,0.0,1759203899949561668
0.0,0.0,1759203899962709422
0.0,0.0,1759203899976102486
0.0,0.0,1759203899989059950
0.0,0.0,1759203900002607011
0.0,0.0,1759203900015799097
0.0,0.0,1759203900030287970
0.0,0.0,1759203900043681775
0.0,0.0,1759203900057185575
0.0,0.0,1759203900069834027
0.0,0.0,1759203900084015101
0.0,0.0,1759203900097159155
0.0,0.0,1759203900110526200
0.0,0.0,1759203900125155968
0.0,0.0,1759203900138568598
0.0,0.0,1759203900151711252
0.0,0.0,1759203900165049346
0.0,0.0,1759203900178153925
0.0,0.0,1759203900191363865
0.0,0.0,1759203900204588090
0.0,0.0,1759203900217622305
0.0,0.0,1759203900232377184
0.0,0.0,1759203900246155698
0.0,0.0,1759203900259193972
0.0,0.0,1759203900272579537
0.0,0.0,1759203900285973541
0.0,0.0,1759203900298879827
0.0,0.0,1759203900312266764
0.0,0.0,1759203900326768355
0.0,0.0,1759203900340196409
0.0,0.0,1759203900353543236
0.0,0.0,1759203900366945238
0.0,0.0,1759203900379394657
0.0,0.0,1759203900393126719
0.0,0.0,1759203900406281572
0.0,0.0,1759203900419644295
0.0,0.0,1759203900433919274
