ekf_x,ekf_y,ekf_yaw,stamp
89671.93447194358,43129.91431691137,0.04153092768159537,1759203898658902773
89671.93447198618,43129.91431691314,0.041530927681686536,1759203898658974043
89671.93447198895,43129.91431691326,0.04153092768171422,1759203898666350095
89671.93457846384,43129.91432828913,0.041471330975670115,1759203898686626920
89671.93457846672,43129.91432828925,0.04147133097570099,1759203898705896639
89671.93468353312,43129.914339586874,0.04141280307707544,1759203898726654737
89671.93468354238,43129.91433958725,0.041412803077380905,1759203898745851767
89671.93468355638,43129.914339587835,0.041412803077391175,1759203898765439236
89671.93463801488,43129.91434473426,0.0413544472642132,1759203898787107204
89671.93463801041,43129.914344734076,0.04135444726420967,1759203898805173878
89671.93463801013,43129.91434473407,0.0413544472642086,1759203898825759996
89671.93459309771,43129.91434989716,0.041296540143566166,1759203898846171926
89671.9345930966,43129.91434989711,0.0412965401435548,1759203898865800925
89671.93454907143,43129.9143550875,0.041238720290956064,1759203898885918444
89671.93454907024,43129.91435508746,0.04123872029094339,1759203898905584595
89671.93454906838,43129.91435508738,0.041238720290942964,1759203898925355845
89671.93450560811,43129.91436029174,0.04118064028921955,1759203898947225873
89671.9345056023,43129.9143602915,0.04118064028921528,1759203898965024268
89671.93446300132,43129.91436552192,0.041122651965155584,1759203898986863678
89671.93446299522,43129.91436552167,0.04112265196515084,1759203899004959694
89671.93446299483,43129.914365521654,0.041122651965149394,1759203899026496429
89671.93442098105,43129.9143707669,0.041064546901876,1759203899045984652
89671.93442097997,43129.91437076685,0.04106454690186528,1759203899066018186
89671.93437979394,43129.914376036766,0.0410065106365645,1759203899085983047
89671.93437979283,43129.914376036715,0.041006510636552654,1759203899106186610
89671.93437979018,43129.914376036606,0.04100651063655241,1759203899124988310
89671.9343390948,43129.91438131732,0.04094824099128099,1759203899147148168
89671.93433908625,43129.91438131697,0.04094824099127856,1759203899165017094
89671.93429915818,43129.9143866198,0.040890074030143796,1759203899187016068
89671.93429915071,43129.91438661949,0.04089007403014196,1759203899204833770
89671.93429914957,43129.91438661945,0.040890074030141416,1759203899225971402
89671.9342597318,43129.91439193383,0.04083184991727922,1759203899246009331
89671.93425973033,43129.914391933766,0.04083184991727101,1759203899265986516
89671.93421037857,43129.91438699643,0.040804565223214136,1759203899285764857
89671.93421037451,43129.91438699627,0.04080456522320718,1759203899306527639
89671.93421037159,43129.914386996155,0.04080456522320695,1759203899325265907
89671.93416159517,43129.91438209119,0.040777426805976756,1759203899346453689
89671.93416159393,43129.91438209115,0.04077742680596351,1759203899365853407
89671.93412458117,43129.91438749387,0.04071915987813413,1759203899386491054
89671.93412458016,43129.91438749383,0.0407191598781231,1759203899405934054
89671.93412457853,43129.91438749376,0.040719159878122725,1759203899425572815
89671.93408804192,43129.91439290643,0.040660637185465205,1759203899446768580
89671.93408803704,43129.91439290623,0.04066063718546165,1759203899464630511
89671.93405222219,43129.914398338835,0.04060221468682917,1759203899486543669
89671.93405221707,43129.914398338624,0.04060221468682521,1759203899505667652
89671.93405221673,43129.91439833862,0.04060221468682402,1759203899526104347
89671.9340168953,43129.914403781826,0.04054372132820009,1759203899545699263
89671.9340168944,43129.91440378179,0.04054372132819115,1759203899565962048
89671.93413062759,43129.91441519597,0.04048678526916804,1759203899585865360
89671.9341306303,43129.914415196086,0.04048678526919633,1759203899605682669
89671.93413063449,43129.914415196254,0.04048678526919727,1759203899624891657
