vx,vy,stamp
2.080432415008545,0.008157908916473389,1756544183485799056
2.110592842102051,0.008698344230651855,1756544183486250829
2.1406707763671875,0.00899648666381836,1756544183486367562
2.1693055629730225,0.009266912937164307,1756544183490966333
2.195482015609741,0.006220102310180664,1756544183529224089
2.2187628746032715,0.005861341953277588,1756544183551425600
2.242619514465332,0.006219029426574707,1756544183589971492
2.2663142681121826,0.005020797252655029,1756544183627390424
2.2907443046569824,0.007133305072784424,1756544183663363334
2.3137733936309814,0.006083488464355469,1756544183704276292
2.3362295627593994,0.004668593406677246,1756544183723871515
2.3585500717163086,0.0026949644088745117,1756544183763146767
2.3817853927612305,0.004922270774841309,1756544183796236357
2.4057633876800537,0.006183266639709473,1756544183835021321
2.431116819381714,0.006148219108581543,1756544183872662661
2.4534378051757812,0.002274453639984131,1756544183911488014
2.478675365447998,0.004872739315032959,1756544183948698315
2.500823974609375,0.0023018717765808105,1756544183968314331
2.526322841644287,0.0032728910446166992,1756544184009755898
2.5498554706573486,0.0014986991882324219,1756544184044976701
2.57478928565979,0.006763935089111328,1756544184083159718
2.59749698638916,0.0029621124267578125,1756544184122391416
2.618901252746582,0.003313779830932617,1756544184159621065
2.6430790424346924,0.004996895790100098,1756544184178989312
2.6642513275146484,0.001421809196472168,1756544184218188247
2.6884851455688477,0.0024385452270507812,1756544184260059526
2.7097702026367188,0.0018863677978515625,1756544184284627654
2.7332916259765625,0.0016932487487792969,1756544184323116045
2.75435209274292,0.0012792348861694336,1756544184361888384
2.77592134475708,0.00036263465881347656,1756544184402926082
2.7956154346466064,-0.0024930238723754883,1756544184424312796
2.8182668685913086,-0.002161741256713867,1756544184464557265
2.8392996788024902,-0.0013653039932250977,1756544184502725543
2.8604142665863037,-0.0019799470901489258,1756544184541331693
2.8813798427581787,-0.0019173622131347656,1756544184579566990
2.904336929321289,-0.0030701160430908203,1756544184600691160
2.9276442527770996,-0.004420757293701172,1756544184638080423
2.9498119354248047,-0.005849361419677734,1756544184674692604
2.971850633621216,-0.0033321380615234375,1756544184712378569
2.9941582679748535,-0.006305813789367676,1756544184749651613
3.0174527168273926,-0.003812074661254883,1756544184786063754
3.0396175384521484,-0.0042694807052612305,1756544184823959668
3.061349630355835,-0.0033915042877197266,1756544184843954005
3.0830483436584473,-0.003635406494140625,1756544184883849126
3.104604482650757,-0.0036115646362304688,1756544184922376688
3.1269140243530273,-0.0033457279205322266,1756544184958333822
3.1505041122436523,-0.0004162788391113281,1756544184995756319
3.1752521991729736,0.0016030073165893555,1756544185018721869
3.1977627277374268,0.003916382789611816,1756544185054406061
3.222829580307007,0.0006965398788452148,1756544185091115053
3.2487828731536865,-0.0036885738372802734,1756544185128491448
3.2745490074157715,-0.004194021224975586,1756544185165811101
3.2983481884002686,-0.00764775276184082,1756544185204420869
3.327988862991333,-0.019263625144958496,1756544185243628531
3.3626413345336914,-0.023178815841674805,1756544185264178780
3.3957300186157227,-0.022083163261413574,1756544185306351486
3.4237279891967773,-0.02087271213531494,1756544185340339389
3.450711727142334,-0.020998120307922363,1756544185376906653
3.4776077270507812,-0.02559077739715576,1756544185418099641
3.5047879219055176,-0.023761749267578125,1756544185438479133
3.5315983295440674,-0.021489977836608887,1756544185474768872
3.5594520568847656,-0.02643883228302002,1756544185510545199
3.5855770111083984,-0.025062203407287598,1756544185549067835
3.6121253967285156,-0.037404656410217285,1756544185585710072
3.6374785900115967,-0.03626847267150879,1756544185625757620
3.6601240634918213,-0.02736186981201172,1756544185664789468
3.6826982498168945,-0.02529144287109375,1756544185685451138
3.706540822982788,-0.0302964448928833,1756544185723156333
3.7295241355895996,-0.02435290813446045,1756544185759364153
3.7521839141845703,-0.02519679069519043,1756544185795930835
3.776810646057129,-0.028415679931640625,1756544185834008897
3.800283432006836,-0.03061378002166748,1756544185869288730
3.8229267597198486,-0.02770256996154785,1756544185907899625
3.8468735218048096,-0.029537081718444824,1756544185945779458
3.867885112762451,-0.026853203773498535,1756544185965253018
3.892975091934204,-0.03162980079650879,1756544186005367327
3.91973614692688,-0.027229905128479004,1756544186042823600
3.950347661972046,-0.026890158653259277,1756544186083883830
3.979658842086792,-0.026410222053527832,1756544186119981781
4.005573749542236,-0.029835104942321777,1756544186142528089
4.027243614196777,-0.02215254306793213,1756544186180358898
4.051255226135254,-0.02236759662628174,1756544186219773590
4.075058937072754,-0.02568650245666504,1756544186258839259
4.095541000366211,-0.026254653930664062,1756544186282396171
4.118768215179443,-0.03196144104003906,1756544186316108455
4.149136066436768,-0.037734031677246094,1756544186357470212
4.177659034729004,-0.046042561531066895,1756544186386153764
4.198797702789307,-0.03897428512573242,1756544186428270470
4.221928119659424,-0.027737855911254883,1756544186466070003
4.246313095092773,-0.03565669059753418,1756544186490147230
4.274040222167969,-0.03433966636657715,1756544186524741099
4.306230545043945,-0.04439413547515869,1756544186564779503
4.3334126472473145,-0.03732955455780029,1756544186602335795
4.367987632751465,-0.03788959980010986,1756544186630423279
4.396881103515625,-0.036153316497802734,1756544186677486114
4.4251580238342285,-0.036122679710388184,1756544186717910068
4.449997901916504,-0.029643893241882324,1756544186739866867
4.480481147766113,-0.03358602523803711,1756544186777576920
4.510584831237793,-0.0326695442199707,1756544186815632564
4.541817665100098,-0.032125234603881836,1756544186856330447
4.56484317779541,-0.030885815620422363,1756544186875546716
4.582921028137207,-0.023673057556152344,1756544186919807022
4.602537631988525,-0.02714669704437256,1756544186957008411
4.619782447814941,-0.026446163654327393,1756544186995561398
4.6388421058654785,-0.03000420331954956,1756544187022443204
