steer,stamp
0.05949420854449272,1756544183485821400
0.05935152992606163,1756544183486255113
0.05885699763894081,1756544183486371942
0.05814624950289726,1756544183491119067
0.05757439509034157,1756544183529106225
0.057012561708688736,1756544183551434392
0.05650082230567932,1756544183589790589
0.05394141376018524,1756544183627101510
0.05361473932862282,1756544183663082213
0.05226854607462883,1756544183703908107
0.05052066221833229,1756544183723514595
0.04914066940546036,1756544183762077241
0.03666575253009796,1756544183796242941
0.03349190577864647,1756544183834701894
0.031309790909290314,1756544183872396932
0.02987329475581646,1756544183911180838
0.02616601251065731,1756544183948501353
0.02442319132387638,1756544183967990113
0.022358093410730362,1756544184009574647
0.020508918911218643,1756544184044233224
0.019927440211176872,1756544184083070240
0.01676728017628193,1756544184122116949
0.014298914931714535,1756544184159306918
0.010809894651174545,1756544184178342469
0.009486797265708447,1756544184217967553
0.008447585627436638,1756544184259800738
0.008652543649077415,1756544184284272920
0.006470794789493084,1756544184322901827
0.006673453375697136,1756544184361673363
0.006774487905204296,1756544184402502044
0.005417970474809408,1756544184424009792
0.004210241138935089,1756544184463973479
0.004309831187129021,1756544184502645759
0.0008585887844674289,1756544184541337457
-0.007433390244841576,1756544184579227931
-0.007759941276162863,1756544184600299895
-0.009029826149344444,1756544184637840362
-0.009576167911291122,1756544184674367266
-0.009951555170118809,1756544184712124823
-0.011023985221982002,1756544184749146387
-0.01183139719069004,1756544184785857992
-0.01410671602934599,1756544184823811441
-0.014360299333930016,1756544184843683817
-0.014391141943633556,1756544184883541125
-0.014328655786812305,1756544184922395354
-0.014366681687533855,1756544184958004829
-0.014560103416442871,1756544184995503228
-0.015165084041655064,1756544185018316437
-0.015155061148107052,1756544185053844695
-0.014990203082561493,1756544185090968501
-0.017479605972766876,1756544185128383349
-0.023108407855033875,1756544185165406332
-0.04692896082997322,1756544185204191003
-0.05606197938323021,1756544185243419536
-0.06276051700115204,1756544185263885184
-0.06807626783847809,1756544185305942759
-0.07207784801721573,1756544185340077417
-0.07471790164709091,1756544185376460827
-0.07681024074554443,1756544185418104025
-0.07821212708950043,1756544185438231857
-0.07834621518850327,1756544185474786655
-0.07897968590259552,1756544185510353879
-0.07974893599748611,1756544185548824534
-0.07943616807460785,1756544185585291487
-0.07776185870170593,1756544185625278966
-0.07586243748664856,1756544185664531579
-0.0758986547589302,1756544185685115538
-0.07463204115629196,1756544185722838520
-0.07152420282363892,1756544185759174877
-0.07131053507328033,1756544185795564066
-0.07570623606443405,1756544185833687063
-0.07328976690769196,1756544185868918055
-0.07131452858448029,1756544185907921675
-0.06975147873163223,1756544185945359654
-0.06666994094848633,1756544185964957245
-0.06674936413764954,1756544186004662567
-0.06588193029165268,1756544186042843953
-0.06450748443603516,1756544186083838381
-0.06210942193865776,1756544186119849209
-0.059023547917604446,1756544186142122320
-0.05714523792266846,1756544186180386838
-0.05493880435824394,1756544186219128703
-0.06055312976241112,1756544186258479591
-0.08236703276634216,1756544186281392023
-0.08899152278900146,1756544186315651829
-0.09350280463695526,1756544186357067283
-0.09621189534664154,1756544186386071637
-0.09749335795640945,1756544186427860568
-0.09902653098106384,1756544186465997219
-0.1005135104060173,1756544186489727911
-0.10218200832605362,1756544186524481729
-0.10257453471422195,1756544186563967221
-0.10119032114744186,1756544186601992129
-0.10011684149503708,1756544186629247582
-0.10139482468366623,1756544186676631217
-0.09899023175239563,1756544186717268923
-0.09657633304595947,1756544186738850561
-0.08888696134090424,1756544186777156644
-0.08758702129125595,1756544186815644551
-0.085912324488163,1756544186856008776
-0.08469083905220032,1756544186875308249
-0.08244052529335022,1756544186915755346
-0.0860406681895256,1756544186956623240
-0.09044279158115387,1756544186995140066
-0.0850902646780014,1756544187021914921
-0.08415402472019196,1756544187058029093
-0.08101514726877213,1756544187099356432
-0.07923632115125656,1756544187120776173
-0.07698444277048111,1756544187160918854
-0.07580050081014633,1756544187202886731
-0.07466635853052139,1756544187226660368
-0.07390150427818298,1756544187270197732
-0.07382411509752274,1756544187314115988
-0.07368627935647964,1756544187337750968
-0.07107745856046677,1756544187363131638
-0.07056231051683426,1756544187410867010
-0.07165263593196869,1756544187452240905
