gnss_x,gnss_y,gnss_z,stamp
89672.93806927292,43148.729532938254,7.8656103056448785,1759205972879987896
89672.61059308505,43148.61146682148,7.8616017410683625,1759205972921105542
89672.27353332227,43148.427248271335,7.862594760758938,1759205972970928729
89671.93689308505,43148.33136682149,7.861586195983556,1759205973021754562
89671.59726780083,43148.234192105665,7.860576599547585,1759205973071587381
89671.26078229707,43148.12734641703,7.8595670030327085,1759205973121111858
89670.90315495568,43148.04285101091,7.826555951210217,1759205973174777995
89670.56025661339,43147.92724568737,7.821545930875672,1759205973220916762
89670.21095614629,43147.85758089328,7.817534694684845,1759205973271416412
89669.86575614629,43147.77308089329,7.812523458434299,1759205973321386742
89669.50021129436,43147.71049943727,7.793510766910124,1759205973370772605
89669.14787727939,43147.617149710364,7.78849910687552,1759205973423076147
89668.7907105256,43147.5703758295,7.783486231042183,1759205973472954573
89668.43809770331,43147.48929638987,7.7784739630314945,1759205973523060156
89668.08725495568,43147.37885101092,7.774462910688484,1759205973572851023
89667.7282105256,43147.33947582949,7.7674500347113025,1759205973624525170
89667.37549475011,43147.25841065833,7.760437766542502,1759205973671349385
89667.00973008027,43147.22391657232,7.754423858960472,1759205973722831992
89666.61093974778,43147.15885874897,7.769408864501749,1759205973772115656
89666.24861138668,43147.09272618726,7.765395564683189,1759205973822974807
89665.8845300803,43147.04931657232,7.761381656990224,1759205973872639265
89665.52075824815,43147.01717710613,7.757367141435829,1759205973923010848
89665.15074957072,43146.83436168817,7.757356641094084,1759205973972778861
89664.77780938621,43146.81143790126,7.753343341090982,1759205974022888314
89664.40553571726,43146.75046744012,7.7503296173720315,1759205974074681008
89664.04391129436,43146.66879943727,7.746316925091776,1759205974121141693
89663.66661451064,43146.54420767889,7.716305208818966,1759205974174797101
89663.29110139637,43146.472361110566,7.712292700542257,1759205974222972779
89662.91736096331,43146.40665929695,7.709279584410957,1759205974271824747
89662.54507137295,43146.33350625131,7.7052664682269665,1759205974324066741
89662.20844175378,43146.11371025933,7.671259061599265,1759205974373460840
89661.82227089009,43146.043987699544,7.663247768599888,1759205974423625852
89661.45916466441,43145.93587865867,7.656236899195825,1759205974471932405
89661.10721046508,43145.80947747588,7.648227061153548,1759205974523302703
89660.77233332227,43145.61894827134,7.661220077733795,1759205974573564374
89660.4110149532,43145.49394999142,7.653211454991315,1759205974624987742
89660.06849333741,43145.334329164834,7.64520386356233,1759205974675008439
89659.72250435202,43145.18330392242,7.637196272008495,1759205974724801541
89659.54904028015,43144.72583849053,7.67020385635751,1759205974774874492
89659.18271425863,43144.552129204145,7.6672022132671955,1759205974822916592
89658.8832674198,43144.31991837128,7.664200993656628,1759205974872286371
89658.5965527091,43144.07181458767,7.661200805238941,1759205974925067270
89658.451301781,43143.71162190411,7.6462084997342,1759205974973868400
89658.16324577607,43143.45025464766,7.644212436402604,1759205975026531791
89657.94782969863,43143.14137091967,7.642218251581667,1759205975076642296
89657.73077522879,43142.84149528676,7.639224490191509,1759205975120857692
89657.55694405276,43142.50852913982,7.6072332149777395,1759205975176341983
89657.36269325725,43142.189260025974,7.6012419394808575,1759205975226764563
89657.18550043563,43141.85408355277,7.595251695058536,1759205975272891990
89657.04241189086,43141.51540192714,7.590262721466736,1759205975324108368
89656.9534819426,43141.115439324094,7.586278480614709,1759205975374839336
89656.81030960093,43140.76615528176,7.5792919928253255,1759205975422961353
89656.70847102009,43140.408765655164,7.5733063521699435,1759205975472641398
89656.62702925103,43140.03990413978,7.567322166274387,1759205975528073163
89656.46098560102,43139.67248785185,7.5823364690787045,1759205975573045306
89656.40797955645,43139.28645645968,7.578353313891206,1759205975627997520
89656.35159920907,43138.90775583501,7.574371005852328,1759205975673221426
89656.29762386082,43138.54151339126,7.570388513671354,1759205975722925743
89656.24069911471,43138.153672198794,7.579407236356339,1759205975773876852
89656.21093557266,43137.7755190763,7.577426198645057,1759205975825901124
89656.18532928996,43137.39822149444,7.575445584393627,1759205975877014596
89656.18399393378,43137.009366597355,7.5734664248966865,1759205975927576607
89655.91948171615,43136.656741811115,7.578479453947047,1759205975978900867
89655.9572639563,43136.24774103049,7.575499022617741,1759205976023057100
89655.91562820747,43135.871219876084,7.572517983473439,1759205976072696239
89655.89032378764,43135.48268022549,7.570537975315737,1759205976121585011
89655.87381844086,43135.07201484669,7.57955960563411,1759205976180002574
89655.85037628467,43134.67293442452,7.578580628140664,1759205976226969695
