gyro_z,stamp
0.11872102615516633,1756667195600547263
0.11345509001612664,1756667195655726596
0.11686463086435106,1756667195710262004
0.11472260130458745,1756667195749154435
0.10501503948681057,1756667195803431113
0.08710977672226727,1756667195859672301
0.0690657246087576,1756667195901702883
0.044577644482254986,1756667195957611003
0.0300711150476709,1756667195998037728
0.017650036780745722,1756667196050861364
0.0021120987358735875,1756667196109361230
-0.007898853641469031,1756667196145650490
-0.013191707855090499,1756667196204324959
-0.032083509738091376,1756667196258485849
-0.036267425472848114,1756667196301887979
-0.04010047200508415,1756667196356632222
-0.10340096564404666,1756667196409587762
-0.1550245031984523,1756667196451523167
-0.1856386961452663,1756667196507857630
-0.2245272474400699,1756667196560890458
-0.24458498119283467,1756667196600256704
-0.2577179392836988,1756667196654775346
-0.2674429295156151,1756667196710371356
-0.27577462531998753,1756667196747152170
-0.2787237726887688,1756667196799237698
-0.2711016622642055,1756667196852238847
-0.2749270170032978,1756667196906129029
-0.2817762908679433,1756667196960533973
-0.2973769332319498,1756667197001231350
-0.34652335483487695,1756667197056949672
-0.3671335563366447,1756667197095732340
-0.376719088105252,1756667197151838958
-0.40260816663876176,1756667197205351166
-0.3920008502472192,1756667197259546163
-0.40149208875745535,1756667197300422734
-0.39443707298859954,1756667197354294227
-0.37990785874798894,1756667197409618650
-0.3686110409479588,1756667197450473107
-0.36211531011294573,1756667197504982098
-0.35760772922448814,1756667197559750401
-0.37121425262093544,1756667197601302350
-0.43422086066938936,1756667197655526022
-0.4413233100939542,1756667197708989734
-0.4405598202291876,1756667197746860842
-0.44040265535376966,1756667197802788667
-0.44683206985145807,1756667197858840156
-0.4326499917814508,1756667197899819589
-0.42240538327395916,1756667197955635387
-0.430394302603323,1756667197997151436
-0.44353489090362563,1756667198049971753
-0.44551010146178305,1756667198106596517
-0.4385509305729065,1756667198161203915
-0.41918758950568735,1756667198198812432
-0.4233124629398808,1756667198255124635
-0.3734648606777191,1756667198309674688
-0.33866779688186943,1756667198349381268
-0.31864498178847134,1756667198404339405
-0.2943292990247719,1756667198461094104
-0.2755206770533696,1756667198520302624
-0.26764551557507366,1756667198563950094
-0.3115045489547774,1756667198605783963
-0.30833233981765806,1756667198661931907
-0.3366202154001221,1756667198706716698
-0.3314965498438105,1756667198760945588
-0.3363649686370045,1756667198801670452
-0.3446577747389674,1756667198856299732
-0.33424885165086016,1756667198901552155
-0.3205926662348211,1756667198958750717
-0.2804207632879261,1756667198997683366
-0.2693107281383127,1756667199052595072
-0.27552953812200576,1756667199116830320
-0.26857967682089656,1756667199152931704
-0.25859428315097466,1756667199212258121
-0.23452009186521172,1756667199254863094
-0.22418544530309736,1756667199313076974
-0.21258026811201125,1756667199354030977
-0.1901360612399876,1756667199413315434
