actuation_accel_cmd,actuation_brake_cmd,actuation_steer_cmd,stamp
1.0,0.0,0.05194259434938431,1756544183485919344
1.0,0.0,0.05122726038098335,1756544183486325048
1.0,0.0,0.04923053830862045,1756544183489669871
1.0,0.0,0.04866739362478256,1756544183492643327
1.0,0.0,0.05543559789657593,1756544183495442849
1.0,0.0,0.014635595493018627,1756544183510353339
1.0,0.0,-0.026164406910538673,1756544183513615797
1.0,0.0,-0.028660589829087257,1756544183531229151
1.0,0.0,0.011251107789576054,1756544183531262914
1.0,0.0,0.014423837885260582,1756544183551459701
1.0,0.0,0.024114536121487617,1756544183551991785
1.0,0.0,0.019002631306648254,1756544183569771118
1.0,0.0,0.02627372369170189,1756544183570052924
1.0,0.0,0.02009471505880356,1756544183589814868
1.0,0.0,0.026076000183820724,1756544183591303807
1.0,0.0,0.019143732264637947,1756544183610320183
1.0,0.0,0.025103317573666573,1756544183612189978
1.0,0.0,0.009442353621125221,1756544183628456431
1.0,0.0,0.01928103342652321,1756544183631842284
1.0,0.0,-0.00786860752850771,1756544183646249782
1.0,0.0,0.009229650720953941,1756544183663335949
1.0,0.0,0.01872868277132511,1756544183664644179
1.0,0.0,0.011286187916994095,1756544183684805799
1.0,0.0,0.007469299249351025,1756544183686588644
1.0,0.0,0.015566617250442505,1756544183705444524
1.0,0.0,0.020065126940608025,1756544183706892716
1.0,0.0,0.010919434949755669,1756544183722291738
1.0,0.0,0.01697884127497673,1756544183723196761
1.0,0.0,0.007487679831683636,1756544183740001971
1.0,0.0,0.014581248164176941,1756544183741931616
1.0,0.0,0.0065131038427352905,1756544183761302614
1.0,0.0,0.01354680024087429,1756544183763198890
1.0,0.0,0.012790709733963013,1756544183777802525
1.0,0.0,0.004736508708447218,1756544183796357879
1.0,0.0,-0.0002970946370624006,1756544183814674718
1.0,0.0,0.008731355890631676,1756544183815486004
1.0,0.0,0.0017318541649729013,1756544183834097355
1.0,0.0,0.009377599693834782,1756544183835742190
1.0,0.0,-0.02363392524421215,1756544183853639295
1.0,0.0,-0.005713636055588722,1756544183854604913
