#s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
64.9302729,89612.4872799976,43157.898763794685,0.2223633,-0.0943516,8.333,0.0
65.9292002,89612.2594922536,43158.8997521253,0.1223888,-0.1056183,8.333,0.0
66.9281274,89612.18156130276,43159.76688417601,0.0082689,-0.1260387,8.333,0.0
67.9270547,89612.32496371008,43160.550290749896,-0.1233983,-0.1145636,8.333,-2.4651385
68.925982,89612.51428495899,43161.3762393535,-0.2291662,-0.0923457,8.0320546,-5.926419
69.9249093,89612.84405354659,43162.18728443241,-0.3071098,-0.0746352,7.2576703,-2.3647013
70.9238365,89613.33415391188,43163.03720283889,-0.4378368,-0.2056345,6.924554,-0.2226777
71.9227638,89613.93975168184,43163.83936444116,-0.6766832,-0.2526073,6.892356,-0.2226777
72.9216911,89614.61985885122,43164.54509940479,-0.8775821,-0.1604996,6.8600068,-1.333452
73.9206184,89615.39578404972,43165.1417687018,-1.0387964,-0.1689156,6.6630061,-0.2061738
74.9195456,89616.25594820372,43165.61308756868,-1.259108,-0.2728281,6.6320242,-0.2061738
75.9184729,89617.1596128239,43165.89101890599,-1.491625,-0.1619097,6.6008969,4.7410537
76.9174002,89618.16427838542,43166.07337086471,-1.5583271,-0.0308414,7.2831158,5.0513573
77.9163275,89619.19570023482,43166.120387248666,-1.6379365,-0.1288184,7.9457946,3.1550027
78.9152547,89620.3495117868,43166.24216891431,-1.798909,-0.170055,8.333,0.0
79.914182,89621.25210628728,43165.96171358936,-1.9605884,-0.1300442,8.333,0.0
80.9131093,89622.11007839709,43165.59671970657,-2.070434,-0.0962323,8.333,0.0
81.9120366,89622.91433549295,43165.16260380429,-2.1631865,-0.0874047,8.333,0.0
82.9109638,89623.81471529856,43164.4279643202,-2.2564983,-0.0961629,8.333,0.0
83.9098911,89624.60590458938,43163.61517095844,-2.3571219,-0.0991244,8.333,0.0
84.9088184,89625.36244567038,43162.721533148695,-2.4521389,-0.0920689,8.333,0.0
85.9077457,89626.280602,43161.5900181,-2.5348117,-0.0765409,8.333,0.0
86.9066729,89626.8190617,43160.7526111,-2.6027848,-0.0602752,8.333,0.0
